directory,btbCore0,btbCore1,file,period_start,period_end,total_power,l2_power,l3_power
./config_l2_256_l3MB_8192_prefetch_none_branch_512-1024_barnes-intervals,512,1024,power-periodicins-67000005-periodicins-68000027-1000022.txt,periodicins-67000005,periodicins-68000027,20.6753,0.0,0.0
./config_l2_256_l3MB_8192_prefetch_none_branch_512-1024_barnes-intervals,512,1024,power-periodicins-61000002-periodicins-62000008-1000006.txt,periodicins-61000002,periodicins-62000008,20.21,0.0,0.0
./config_l2_256_l3MB_8192_prefetch_none_branch_512-1024_barnes-intervals,512,1024,power-periodicins-52000003-periodicins-53000005-1000002.txt,periodicins-52000003,periodicins-53000005,30.3652,0.0,0.0
./config_l2_256_l3MB_8192_prefetch_none_branch_512-1024_barnes-intervals,512,1024,power-periodicins-6000002-periodicins-7000004-1000002.txt,periodicins-6000002,periodicins-7000004,30.3906,0.0,0.0
./config_l2_256_l3MB_8192_prefetch_none_branch_512-1024_barnes-intervals,512,1024,power-periodicins-35000004-periodicins-36000013-1000009.txt,periodicins-35000004,periodicins-36000013,20.4456,0.0,0.0
./config_l2_256_l3MB_8192_prefetch_none_branch_512-1024_barnes-intervals,512,1024,power-periodicins-23000014-periodicins-24000016-1000002.txt,periodicins-23000014,periodicins-24000016,15.7973,0.0,0.0
./config_l2_256_l3MB_8192_prefetch_none_branch_512-1024_barnes-intervals,512,1024,power-periodicins-16000004-periodicins-17000006-1000002.txt,periodicins-16000004,periodicins-17000006,30.365,0.0,0.0
./config_l2_256_l3MB_8192_prefetch_none_branch_512-1024_barnes-intervals,512,1024,power-periodicins-4000004-periodicins-5000006-1000002.txt,periodicins-4000004,periodicins-5000006,30.3652,0.0,0.0
./config_l2_256_l3MB_8192_prefetch_none_branch_512-1024_barnes-intervals,512,1024,power-periodicins-86000005-periodicins-87000005-1000000.txt,periodicins-86000005,periodicins-87000005,12.7848,0.0,0.0
./config_l2_256_l3MB_8192_prefetch_none_branch_512-1024_barnes-intervals,512,1024,power-periodicins-56000005-periodicins-57000022-1000017.txt,periodicins-56000005,periodicins-57000022,20.9958,0.0,0.0
./config_l2_256_l3MB_8192_prefetch_none_branch_512-1024_barnes-intervals,512,1024,power-periodicins-105000002-periodicins-106000004-1000002.txt,periodicins-105000002,periodicins-106000004,30.3652,0.0,0.0
./config_l2_256_l3MB_8192_prefetch_none_branch_512-1024_barnes-intervals,512,1024,power-periodicins-2000003-periodicins-3000002-999999.txt,periodicins-2000003,periodicins-3000002,19.3418,0.0,0.0
./config_l2_256_l3MB_8192_prefetch_none_branch_512-1024_barnes-intervals,512,1024,power-periodicins-115000004-periodicins-116000006-1000002.txt,periodicins-115000004,periodicins-116000006,30.3886,0.0,0.0
./config_l2_256_l3MB_8192_prefetch_none_branch_512-1024_barnes-intervals,512,1024,power-periodicins-97000009-periodicins-98000006-999997.txt,periodicins-97000009,periodicins-98000006,10.4987,0.0,0.0
./config_l2_256_l3MB_8192_prefetch_none_branch_512-1024_barnes-intervals,512,1024,power-periodicins-96000019-periodicins-97000009-999990.txt,periodicins-96000019,periodicins-97000009,16.6032,0.0,0.0
./config_l2_256_l3MB_8192_prefetch_none_branch_512-1024_barnes-intervals,512,1024,power-periodicins-63000004-periodicins-64000038-1000034.txt,periodicins-63000004,periodicins-64000038,20.0903,0.0,0.0
./config_l2_256_l3MB_8192_prefetch_none_branch_512-1024_barnes-intervals,512,1024,power-periodicins-127000015-periodicins-128000008-999993.txt,periodicins-127000015,periodicins-128000008,20.635,0.0,0.0
./config_l2_256_l3MB_8192_prefetch_none_branch_512-1024_barnes-intervals,512,1024,power-periodicins-36000013-periodicins-37000002-999989.txt,periodicins-36000013,periodicins-37000002,20.3556,0.0,0.0
./config_l2_256_l3MB_8192_prefetch_none_branch_512-1024_barnes-intervals,512,1024,power-periodicins-110000006-periodicins-111000002-999996.txt,periodicins-110000006,periodicins-111000002,30.3884,0.0,0.0
./config_l2_256_l3MB_8192_prefetch_none_branch_512-1024_barnes-intervals,512,1024,power-periodicins-11000006-periodicins-12000002-999996.txt,periodicins-11000006,periodicins-12000002,30.3652,0.0,0.0
./config_l2_256_l3MB_8192_prefetch_none_branch_512-1024_barnes-intervals,512,1024,power-periodicins-81000004-periodicins-82000003-999999.txt,periodicins-81000004,periodicins-82000003,30.3892,0.0,0.0
./config_l2_256_l3MB_8192_prefetch_none_branch_512-1024_barnes-intervals,512,1024,power-periodicins-68000027-periodicins-69000010-999983.txt,periodicins-68000027,periodicins-69000010,20.3943,0.0,0.0
./config_l2_256_l3MB_8192_prefetch_none_branch_512-1024_barnes-intervals,512,1024,power-periodicins-13000004-periodicins-14000006-1000002.txt,periodicins-13000004,periodicins-14000006,30.3653,0.0,0.0
./config_l2_256_l3MB_8192_prefetch_none_branch_512-1024_barnes-intervals,512,1024,power-periodicins-53000005-periodicins-54000004-999999.txt,periodicins-53000005,periodicins-54000004,30.3649,0.0,0.0
./config_l2_256_l3MB_8192_prefetch_none_branch_512-1024_barnes-intervals,512,1024,power-periodicins-28000025-periodicins-29000004-999979.txt,periodicins-28000025,periodicins-29000004,20.3456,0.0,0.0
./config_l2_256_l3MB_8192_prefetch_none_branch_512-1024_barnes-intervals,512,1024,power-periodicins-15000002-periodicins-16000004-1000002.txt,periodicins-15000002,periodicins-16000004,30.3894,0.0,0.0
./config_l2_256_l3MB_8192_prefetch_none_branch_512-1024_barnes-intervals,512,1024,power-periodicins-21000016-periodicins-22000015-999999.txt,periodicins-21000016,periodicins-22000015,15.7972,0.0,0.0
./config_l2_256_l3MB_8192_prefetch_none_branch_512-1024_barnes-intervals,512,1024,power-periodicins-22000015-periodicins-23000014-999999.txt,periodicins-22000015,periodicins-23000014,15.7972,0.0,0.0
./config_l2_256_l3MB_8192_prefetch_none_branch_512-1024_barnes-intervals,512,1024,power-periodicins-83000005-periodicins-84000004-999999.txt,periodicins-83000005,periodicins-84000004,30.3886,0.0,0.0
./config_l2_256_l3MB_8192_prefetch_none_branch_512-1024_barnes-intervals,512,1024,power-periodicins-39000014-periodicins-40000023-1000009.txt,periodicins-39000014,periodicins-40000023,13.7414,0.0,0.0
./config_l2_256_l3MB_8192_prefetch_none_branch_512-1024_barnes-intervals,512,1024,power-periodicins-9000002-periodicins-10000004-1000002.txt,periodicins-9000002,periodicins-10000004,30.3651,0.0,0.0
./config_l2_256_l3MB_8192_prefetch_none_branch_512-1024_barnes-intervals,512,1024,power-periodicins-26000014-periodicins-27000006-999992.txt,periodicins-26000014,periodicins-27000006,19.2096,0.0,0.0
