file,period_start,period_end,total_power,l2_power,l3_power
power-periodicins-32000005-periodicins-33000004-999999.txt,periodicins-32000005,periodicins-33000004,30.3653,0.0,0.0
power-periodicins-55000004-periodicins-56000003-999999.txt,periodicins-55000004,periodicins-56000003,30.3651,0.0,0.0
power-periodicins-130000026-periodicins-131000038-1000012.txt,periodicins-130000026,periodicins-131000038,20.1365,0.0,0.0
power-periodicins-34000002-periodicins-35000026-1000024.txt,periodicins-34000002,periodicins-35000026,19.9196,0.0,0.0
power-periodicins-125000020-periodicins-126000041-1000021.txt,periodicins-125000020,periodicins-126000041,20.0515,0.0,0.0
power-periodicins-25000003-periodicins-26000005-1000002.txt,periodicins-25000003,periodicins-26000005,30.3652,0.0,0.0
power-periodicins-88000004-periodicins-89000006-1000002.txt,periodicins-88000004,periodicins-89000006,30.3887,0.0,0.0
power-periodicins-96000021-periodicins-97000006-999985.txt,periodicins-96000021,periodicins-97000006,20.3095,0.0,0.0
power-periodicins-114000004-periodicins-115000003-999999.txt,periodicins-114000004,periodicins-115000003,30.3652,0.0,0.0
power-periodicins-67000013-periodicins-68000017-1000004.txt,periodicins-67000013,periodicins-68000017,20.3338,0.0,0.0
power-periodicins-137000036-periodicins-138000019-999983.txt,periodicins-137000036,periodicins-138000019,20.3564,0.0,0.0
power-periodicins-7000006-periodicins-8000002-999996.txt,periodicins-7000006,periodicins-8000002,30.3648,0.0,0.0
power-periodicins-49000004-periodicins-50000003-999999.txt,periodicins-49000004,periodicins-50000003,30.3647,0.0,0.0
power-periodicins-85000004-periodicins-86000006-1000002.txt,periodicins-85000004,periodicins-86000006,30.3885,0.0,0.0
power-periodicins-129000039-periodicins-130000026-999987.txt,periodicins-129000039,periodicins-130000026,20.4385,0.0,0.0
power-periodicins-84000002-periodicins-85000004-1000002.txt,periodicins-84000002,periodicins-85000004,30.3653,0.0,0.0
power-periodicins-135000025-periodicins-136000020-999995.txt,periodicins-135000025,periodicins-136000020,20.6071,0.0,0.0
power-periodicins-136000020-periodicins-137000036-1000016.txt,periodicins-136000020,periodicins-137000036,20.6669,0.0,0.0
power-periodicins-110000005-periodicins-111000004-999999.txt,periodicins-110000005,periodicins-111000004,30.3649,0.0,0.0
power-periodicins-100000005-periodicins-101000009-1000004.txt,periodicins-100000005,periodicins-101000009,19.9831,0.0,0.0
power-periodicins-10000006-periodicins-11000002-999996.txt,periodicins-10000006,periodicins-11000002,30.3886,0.0,0.0
power-periodicins-3000004-periodicins-4000006-1000002.txt,periodicins-3000004,periodicins-4000006,30.3886,0.0,0.0
power-periodicins-9000004-periodicins-10000006-1000002.txt,periodicins-9000004,periodicins-10000006,30.3652,0.0,0.0
power-periodicins-78000004-periodicins-79000004-1000000.txt,periodicins-78000004,periodicins-79000004,22.5903,0.0,0.0
power-periodicins-31000003-periodicins-32000005-1000002.txt,periodicins-31000003,periodicins-32000005,30.3892,0.0,0.0
power-periodicins-75000032-periodicins-76000005-999973.txt,periodicins-75000032,periodicins-76000005,20.6703,0.0,0.0
power-periodicins-93000002-periodicins-94000004-1000002.txt,periodicins-93000002,periodicins-94000004,29.9742,0.0,0.0
power-periodicins-122000005-periodicins-123000004-999999.txt,periodicins-122000005,periodicins-123000004,30.3885,0.0,0.0
power-periodicins-62000003-periodicins-63000005-1000002.txt,periodicins-62000003,periodicins-63000005,30.3652,0.0,0.0
power-periodicins-24000004-periodicins-25000003-999999.txt,periodicins-24000004,periodicins-25000003,30.3885,0.0,0.0
power-periodicins-42000030-periodicins-43000035-1000005.txt,periodicins-42000030,periodicins-43000035,20.2857,0.0,0.0
power-periodicins-73000018-periodicins-74000019-1000001.txt,periodicins-73000018,periodicins-74000019,20.3073,0.0,0.0
power-periodicins-54000005-periodicins-55000004-999999.txt,periodicins-54000005,periodicins-55000004,30.3886,0.0,0.0
power-periodicins-19000003-periodicins-20000005-1000002.txt,periodicins-19000003,periodicins-20000005,30.3886,0.0,0.0
power-periodicins-5000002-periodicins-6000004-1000002.txt,periodicins-5000002,periodicins-6000004,30.3636,0.0,0.0
power-periodicins-90000002-periodicins-91000004-1000002.txt,periodicins-90000002,periodicins-91000004,30.3886,0.0,0.0
