directory,btbCore0,btbCore1,file,period_start,period_end,total_power,l2_power,l3_power
./config_l2_256_l3MB_8192_prefetch_none_branch_1024-4096_cholesky-intervals,1024,4096,power-periodicins-177000008-periodicins-178000002-999994.txt,periodicins-177000008,periodicins-178000002,16.4034,0.0,0.0
./config_l2_256_l3MB_8192_prefetch_none_branch_1024-4096_cholesky-intervals,1024,4096,power-periodicins-952000068-periodicins-953000090-1000022.txt,periodicins-952000068,periodicins-953000090,41.6228,0.0,0.0
./config_l2_256_l3MB_8192_prefetch_none_branch_1024-4096_cholesky-intervals,1024,4096,power-periodicins-894000009-periodicins-895000013-1000004.txt,periodicins-894000009,periodicins-895000013,34.9439,0.0,0.0
./config_l2_256_l3MB_8192_prefetch_none_branch_1024-4096_cholesky-intervals,1024,4096,power-periodicins-748000004-periodicins-749000003-999999.txt,periodicins-748000004,periodicins-749000003,30.3885,0.0,0.0
./config_l2_256_l3MB_8192_prefetch_none_branch_1024-4096_cholesky-intervals,1024,4096,power-periodicins-979000025-periodicins-980000071-1000046.txt,periodicins-979000025,periodicins-980000071,41.8779,0.0,0.0
./config_l2_256_l3MB_8192_prefetch_none_branch_1024-4096_cholesky-intervals,1024,4096,power-periodicins-301000063-periodicins-302000039-999976.txt,periodicins-301000063,periodicins-302000039,39.0566,0.0,0.0
./config_l2_256_l3MB_8192_prefetch_none_branch_1024-4096_cholesky-intervals,1024,4096,power-periodicins-1087000054-periodicins-1088000005-999951.txt,periodicins-1087000054,periodicins-1088000005,30.9983,0.0,0.0
./config_l2_256_l3MB_8192_prefetch_none_branch_1024-4096_cholesky-intervals,1024,4096,power-periodicins-566000004-periodicins-567000099-1000095.txt,periodicins-566000004,periodicins-567000099,40.589,0.0,0.0
./config_l2_256_l3MB_8192_prefetch_none_branch_1024-4096_cholesky-intervals,1024,4096,power-periodicins-157000002-periodicins-158000010-1000008.txt,periodicins-157000002,periodicins-158000010,9.89427,0.0,0.0
./config_l2_256_l3MB_8192_prefetch_none_branch_1024-4096_cholesky-intervals,1024,4096,power-periodicins-631000004-periodicins-632000003-999999.txt,periodicins-631000004,periodicins-632000003,30.3643,0.0,0.0
