                                     | Core 0     | Core 1    
  Instructions                       |  101197775 |  106623483
  Cycles                             |   51044070 |   51044070
  IPC                                |       1.98 |       2.09
  Time (ns)                          |   19189500 |   19189500
  Idle time (ns)                     |    1172887 |     701574
  Idle time (%)                      |       6.1% |       3.7%
Branch predictor stats               |            |           
  num correct                        |   25890176 |   28285210
  num incorrect                      |     117865 |     112921
  misprediction rate                 |      0.45% |      0.40%
  mpki                               |       1.16 |       1.06
TLB Summary                          |            |           
  I-TLB                              |            |           
    num accesses                     |    3711747 |    3451036
    num misses                       |         77 |         30
    miss rate                        |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00
  D-TLB                              |            |           
    num accesses                     |   40493356 |   42181382
    num misses                       |      14076 |      15253
    miss rate                        |      0.03% |      0.04%
    mpki                             |       0.14 |       0.14
  L2 TLB                             |            |           
    num accesses                     |      14153 |      15283
    num misses                       |        304 |        205
    miss rate                        |      2.15% |      1.34%
    mpki                             |       0.00 |       0.00
Cache Summary                        |            |           
  Cache L1-I                         |            |           
    num cache accesses               |    3711747 |    3451036
    num cache misses                 |        957 |        309
    miss rate                        |      0.03% |      0.01%
    mpki                             |       0.01 |       0.00
  Cache L1-D                         |            |           
    num cache accesses               |   40493356 |   42181382
    num cache misses                 |     151113 |     156091
    miss rate                        |      0.37% |      0.37%
    mpki                             |       1.49 |       1.46
  Cache L2                           |            |           
    num cache accesses               |     155248 |     157666
    num cache misses                 |      10669 |       6152
    miss rate                        |      6.87% |      3.90%
    mpki                             |       0.11 |       0.06
  Cache L3                           |            |           
    num cache accesses               |      14549 |       8371
    num cache misses                 |       6563 |        852
    miss rate                        |     45.11% |     10.18%
    mpki                             |       0.06 |       0.01
DRAM summary                         |            |           
  num dram accesses                  |       7402 |          0
  average dram access latency (ns)   |      56.69 |        inf
  average dram queueing delay        |       3.26 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00%
Coherency Traffic                    |            |           
  num loads from dram                |       2505 |        162
  num loads from dram cache          |          0 |          0
  num loads from remote cache        |          0 |          0
