directory,btbCore0,btbCore1,file,period_start,period_end,total_power,l2_power,l3_power
./config_l2_256_l3MB_8192_prefetch_none_branch_2048-2048_fft-intervals,2048,2048,power-periodicins-166000012-roi-end--60703428.txt,,,29.5135,0.0,0.0
./config_l2_256_l3MB_8192_prefetch_none_branch_2048-2048_fft-intervals,2048,2048,power-periodicins-72000005-periodicins-73000024-1000019.txt,periodicins-72000005,periodicins-73000024,21.6842,0.0,0.0
./config_l2_256_l3MB_8192_prefetch_none_branch_2048-2048_fft-intervals,2048,2048,power-periodicins-147000046-periodicins-148000046-1000000.txt,periodicins-147000046,periodicins-148000046,35.9697,0.0,0.0
./config_l2_256_l3MB_8192_prefetch_none_branch_2048-2048_fft-intervals,2048,2048,power-periodicins-69000014-periodicins-70000043-1000029.txt,periodicins-69000014,periodicins-70000043,22.4265,0.0,0.0
./config_l2_256_l3MB_8192_prefetch_none_branch_2048-2048_fft-intervals,2048,2048,power-periodicins-68000021-periodicins-69000014-999993.txt,periodicins-68000021,periodicins-69000014,22.8251,0.0,0.0
./config_l2_256_l3MB_8192_prefetch_none_branch_2048-2048_fft-intervals,2048,2048,power-periodicins-111000008-periodicins-112000035-1000027.txt,periodicins-111000008,periodicins-112000035,37.1406,0.0,0.0
./config_l2_256_l3MB_8192_prefetch_none_branch_2048-2048_fft-intervals,2048,2048,power-periodicins-128000033-periodicins-129000008-999975.txt,periodicins-128000033,periodicins-129000008,36.0641,0.0,0.0
./config_l2_256_l3MB_8192_prefetch_none_branch_2048-2048_fft-intervals,2048,2048,power-periodicins-9000020-periodicins-10000016-999996.txt,periodicins-9000020,periodicins-10000016,17.5191,0.0,0.0
./config_l2_256_l3MB_8192_prefetch_none_branch_2048-2048_fft-intervals,2048,2048,power-periodicins-39000007-periodicins-40000002-999995.txt,periodicins-39000007,periodicins-40000002,12.6131,0.0,0.0
./config_l2_256_l3MB_8192_prefetch_none_branch_2048-2048_fft-intervals,2048,2048,power-periodicins-35000005-periodicins-36000003-999998.txt,periodicins-35000005,periodicins-36000003,17.5193,0.0,0.0
./config_l2_256_l3MB_8192_prefetch_none_branch_2048-2048_fft-intervals,2048,2048,power-periodicins-32000003-periodicins-33000003-1000000.txt,periodicins-32000003,periodicins-33000003,17.5192,0.0,0.0
./config_l2_256_l3MB_8192_prefetch_none_branch_2048-2048_fft-intervals,2048,2048,power-periodicins-58000035-periodicins-59000039-1000004.txt,periodicins-58000035,periodicins-59000039,23.467,0.0,0.0
