directory,period,start,roi-begin,roi-end,stop,branch_predictor.num-correct_core0,branch_predictor.num-correct_core1,branch_predictor.num-incorrect_core0,branch_predictor.num-incorrect_core1,L2.load-misses_core0,L2.load-misses_core1,L2.loads_core0,L2.loads_core1,L2.stores_core0,L2.stores_core1,L2.store-misses_core0,L2.store-misses_core1,core.instructions_core0,core.instructions_core1,performance_model.elapsed_time_core0,performance_model.elapsed_time_core1,performance_model.idle_elapsed_time_core0,performance_model.idle_elapsed_time_core1,performance_model.instruction_count_core0,performance_model.instruction_count_core1,L3.load-misses_core0,L3.load-misses_core1,L3.loads_core0,L3.loads_core1,L3.stores_core0,L3.stores_core1,L3.store-misses_core0,L3.store-misses_core1
/root/snipersim_framework/config_l2_256_l3MB_8192_prefetch_none_branch_512_fft,periodic-0,start,roi-begin,roi-end,stop,0,0,0,0,2,0,2,0,2,0,2,0,1091,0,410149449,0,10149449,400000000,0,0,3,0,3,0,3,0,3,0
/root/snipersim_framework/config_l2_256_l3MB_8192_prefetch_none_branch_512_fft,periodic-400000000,start,roi-begin,roi-end,stop,0,0,0,0,2,0,2,0,2,0,2,0,2649,0,1406011860,0,595862411,400000000,0,0,3,0,3,0,3,0,3,0
/root/snipersim_framework/config_l2_256_l3MB_8192_prefetch_none_branch_512_fft,periodic-800000000,start,roi-begin,roi-end,stop,0,0,0,0,2,0,2,0,2,0,2,0,0,0,1406011860,0,400000000,400000000,0,0,3,0,3,0,3,0,3,0
/root/snipersim_framework/config_l2_256_l3MB_8192_prefetch_none_branch_512_fft,periodic-1200000000,start,roi-begin,roi-end,stop,0,0,0,0,2,0,2,0,2,0,2,0,6692,0,3921795648,0,2115783788,400000000,0,0,3,0,3,0,3,0,3,0
/root/snipersim_framework/config_l2_256_l3MB_8192_prefetch_none_branch_512_fft,periodic-1600000000,start,roi-begin,roi-end,stop,0,0,0,0,2,0,2,0,2,0,2,0,0,0,3921795648,0,400000000,400000000,0,0,3,0,3,0,3,0,3,0
/root/snipersim_framework/config_l2_256_l3MB_8192_prefetch_none_branch_512_fft,periodic-2000000000,start,roi-begin,roi-end,stop,0,0,0,0,2,0,2,0,2,0,2,0,0,0,3921795648,0,400000000,400000000,0,0,3,0,3,0,3,0,3,0
/root/snipersim_framework/config_l2_256_l3MB_8192_prefetch_none_branch_512_fft,periodic-2400000000,start,roi-begin,roi-end,stop,0,0,0,0,2,0,2,0,2,0,2,0,0,0,3921795648,0,400000000,400000000,0,0,3,0,3,0,3,0,3,0
/root/snipersim_framework/config_l2_256_l3MB_8192_prefetch_none_branch_512_fft,periodic-2800000000,start,roi-begin,roi-end,stop,0,0,0,0,2,0,2,0,2,0,2,0,0,0,3921795648,0,400000000,400000000,0,0,3,0,3,0,3,0,3,0
/root/snipersim_framework/config_l2_256_l3MB_8192_prefetch_none_branch_512_fft,periodic-3200000000,start,roi-begin,roi-end,stop,0,0,0,0,2,0,2,0,2,0,2,0,0,0,3921795648,0,400000000,400000000,0,0,3,0,3,0,3,0,3,0
/root/snipersim_framework/config_l2_256_l3MB_8192_prefetch_none_branch_512_fft,periodic-3600000000,start,roi-begin,roi-end,stop,0,0,0,0,2,0,2,0,2,0,2,0,869,0,4248486639,0,73309009,400000000,0,0,3,0,3,0,3,0,3,0
/root/snipersim_framework/config_l2_256_l3MB_8192_prefetch_none_branch_512_fft,periodic-4000000000,start,roi-begin,roi-end,stop,0,0,0,0,2,0,2,0,2,0,2,0,484,0,4430817054,0,217669585,400000000,0,0,3,0,3,0,3,0,3,0
/root/snipersim_framework/config_l2_256_l3MB_8192_prefetch_none_branch_512_fft,periodic-4400000000,start,roi-begin,roi-end,stop,0,0,0,0,2,0,2,0,2,0,2,0,1016,0,4813898895,0,16918159,400000000,6,0,3,0,3,0,3,0,3,0
/root/snipersim_framework/config_l2_256_l3MB_8192_prefetch_none_branch_512_fft,periodic-4800000000,start,roi-begin,roi-end,stop,0,0,0,0,2,0,2,0,2,0,2,0,1051,0,5210138601,0,3760294,400000000,9,0,3,0,3,0,3,0,3,0
/root/snipersim_framework/config_l2_256_l3MB_8192_prefetch_none_branch_512_fft,periodic-5200000000,start,roi-begin,roi-end,stop,0,0,0,0,2,0,2,0,2,0,2,0,2570,0,6177805587,0,567666986,400000000,12,0,3,0,3,0,3,0,3,0
/root/snipersim_framework/config_l2_256_l3MB_8192_prefetch_none_branch_512_fft,periodic-5600000000,start,roi-begin,roi-end,stop,0,0,0,0,2,0,2,0,2,0,2,0,0,0,6177805587,0,400000000,400000000,0,0,3,0,3,0,3,0,3,0
/root/snipersim_framework/config_l2_256_l3MB_8192_prefetch_none_branch_512_fft,periodic-6000000000,start,roi-begin,roi-end,stop,0,0,0,0,2,0,2,0,2,0,2,0,1152,0,6627066704,0,33081728,400000000,0,0,3,0,3,0,3,0,3,0
/root/snipersim_framework/config_l2_256_l3MB_8192_prefetch_none_branch_512_fft,periodic-6400000000,start,roi-begin,roi-end,stop,0,0,0,0,2,0,2,0,2,0,2,0,1488,0,7186839875,0,159773171,400000000,3,0,3,0,3,0,3,0,3,0
/root/snipersim_framework/config_l2_256_l3MB_8192_prefetch_none_branch_512_fft,periodic-6800000000,start,roi-begin,roi-end,stop,0,0,0,0,2,0,2,0,2,0,2,0,196,0,7260899858,0,325940017,400000000,3,0,3,0,3,0,3,0,3,0
/root/snipersim_framework/config_l2_256_l3MB_8192_prefetch_none_branch_512_fft,periodic-7200000000,start,roi-begin,roi-end,stop,0,0,0,0,2,0,2,0,2,0,2,0,2244,0,8104882913,0,443983055,400000000,3,0,3,0,3,0,3,0,3,0
/root/snipersim_framework/config_l2_256_l3MB_8192_prefetch_none_branch_512_fft,periodic-7600000000,start,roi-begin,roi-end,stop,0,0,0,0,2,0,2,0,2,0,2,0,0,0,8104882913,0,400000000,400000000,0,0,3,0,3,0,3,0,3,0
/root/snipersim_framework/config_l2_256_l3MB_8192_prefetch_none_branch_512_fft,periodic-8000000000,start,roi-begin,roi-end,stop,0,0,0,0,2,0,2,0,2,0,2,0,1086,0,8602630669,0,8645693,400000000,3,0,3,0,3,0,3,0,3,0
/root/snipersim_framework/config_l2_256_l3MB_8192_prefetch_none_branch_512_fft,periodic-8400000000,start,roi-begin,roi-end,stop,0,0,0,0,2,0,2,0,2,0,2,0,836,0,8916915673,0,85714996,400000000,0,0,3,0,3,0,3,0,3,0
/root/snipersim_framework/config_l2_256_l3MB_8192_prefetch_none_branch_512_fft,periodic-8800000000,start,roi-begin,roi-end,stop,0,0,0,0,2,0,2,0,2,0,2,0,1158,0,9352628974,0,35713301,400000000,3,0,3,0,3,0,3,0,3,0
/root/snipersim_framework/config_l2_256_l3MB_8192_prefetch_none_branch_512_fft,periodic-9200000000,start,roi-begin,roi-end,stop,0,0,0,0,2,0,2,0,2,0,2,0,865,0,9678192148,0,74436826,400000000,3,0,3,0,3,0,3,0,3,0
/root/snipersim_framework/config_l2_256_l3MB_8192_prefetch_none_branch_512_fft,periodic-9600000000,start,roi-begin,roi-end,stop,0,0,0,0,2,0,2,0,2,0,2,0,1542,0,10257890086,0,179697938,400000000,0,0,3,0,3,0,3,0,3,0
/root/snipersim_framework/config_l2_256_l3MB_8192_prefetch_none_branch_512_fft,periodic-10000000000,start,roi-begin,roi-end,stop,0,0,0,0,2,0,2,0,2,0,2,0,1100,0,10707893815,0,13908839,400000000,3,0,3,0,3,0,3,0,3,0
/root/snipersim_framework/config_l2_256_l3MB_8192_prefetch_none_branch_512_fft,periodic-10400000000,start,roi-begin,roi-end,stop,0,0,0,0,2,0,2,0,2,0,2,0,671,0,10960148884,0,147744931,400000000,0,0,3,0,3,0,3,0,3,0
