Directory,cache,core,core-alu,core-core,core-fp,core-ifetch,core-int,core-mem,core-other,dcache,dram,icache,l2,l3,other,total
/root/snipersim_framework/config_l2_1024_l2MB_8_prefetch_none_branch_4096,13.84,18.08,0.68,7.66,1.78,2.06,1.37,2.56,1.98,5.67,4.29,0.8,3.99,3.38,0.03,36.23
/root/snipersim_framework/config_l2_512_l2MB_4_prefetch_ghb_branch_1024,11.42,17.47,0.68,7.29,1.78,1.98,1.33,2.46,1.95,5.48,4.29,0.8,1.77,3.38,0.03,33.2
/root/snipersim_framework/config_l2_512_l2MB_16_prefetch_ghb_branch_4096,11.87,18.49,0.68,7.87,1.8,2.12,1.41,2.67,1.95,5.91,4.29,0.82,1.77,3.38,0.03,34.67
/root/snipersim_framework/config_l2_256_l2MB_4_prefetch_none_branch_512,10.69,17.6,0.69,7.29,1.82,1.96,1.34,2.54,1.96,5.62,4.29,0.85,0.84,3.38,0.03,32.61
/root/snipersim_framework/config_l2_256_l2MB_4_prefetch_simple_branch_4096,10.76,18.06,0.68,7.6,1.78,2.08,1.38,2.59,1.96,5.74,4.29,0.8,0.84,3.38,0.03,33.14
/root/snipersim_framework/config_l2_512_l2MB_8_prefetch_none_branch_2048,11.83,18.4,0.68,7.82,1.8,2.11,1.4,2.65,1.95,5.87,4.29,0.82,1.77,3.38,0.03,34.55
/root/snipersim_framework/config_l2_512_l2MB_4_prefetch_none_branch_1024,11.61,18.04,0.68,7.65,1.78,2.06,1.37,2.55,1.95,5.67,4.29,0.8,1.77,3.38,0.03,33.97
/root/snipersim_framework/config_l2_1024_l2MB_16_prefetch_ghb_branch_2048,13.87,18.27,0.67,7.78,1.77,2.11,1.38,2.58,1.98,5.73,4.28,0.78,3.99,3.38,0.03,36.45
/root/snipersim_framework/config_l2_1024_l2MB_12_prefetch_ghb_branch_4096,14.0,18.57,0.67,7.95,1.76,2.16,1.41,2.64,1.98,5.86,4.28,0.78,3.99,3.38,0.03,36.89
/root/snipersim_framework/config_l2_256_l2MB_4_prefetch_ghb_branch_4096,10.55,17.76,0.68,7.5,1.78,2.01,1.34,2.49,1.96,5.54,4.29,0.8,0.84,3.38,0.03,32.63
/root/snipersim_framework/config_l2_512_l2MB_16_prefetch_simple_branch_512,11.59,18.0,0.68,7.63,1.78,2.05,1.36,2.55,1.95,5.65,4.29,0.8,1.77,3.38,0.03,33.91
/root/snipersim_framework/config_l2_256_l2MB_12_prefetch_ghb_branch_2048,10.52,17.22,0.69,7.09,1.82,1.9,1.31,2.46,1.96,5.45,4.29,0.85,0.84,3.38,0.03,32.06
/root/snipersim_framework/config_l2_1024_l2MB_8_prefetch_none_branch_1024,13.83,18.08,0.68,7.66,1.78,2.06,1.37,2.56,1.98,5.67,4.29,0.8,3.99,3.38,0.03,36.23
/root/snipersim_framework/config_l2_512_l2MB_8_prefetch_none_branch_1024,11.59,17.53,0.69,7.26,1.82,1.95,1.33,2.53,1.95,5.6,4.29,0.85,1.77,3.38,0.03,33.44
/root/snipersim_framework/config_l2_512_l2MB_8_prefetch_ghb_branch_512,11.46,17.25,0.69,7.11,1.82,1.91,1.31,2.47,1.95,5.46,4.29,0.85,1.77,3.38,0.03,33.02
/root/snipersim_framework/config_l2_1024_l2MB_12_prefetch_ghb_branch_1024,13.49,17.16,0.68,7.11,1.78,1.92,1.3,2.4,1.98,5.33,4.29,0.8,3.99,3.38,0.03,34.96
/root/snipersim_framework/config_l2_1024_l2MB_12_prefetch_ghb_branch_2048,13.91,17.96,0.69,7.54,1.82,2.0,1.35,2.58,1.98,5.7,4.29,0.85,3.99,3.38,0.03,36.2
/root/snipersim_framework/config_l2_1024_l2MB_16_prefetch_none_branch_1024,14.07,18.31,0.69,7.73,1.82,2.06,1.39,2.65,1.98,5.86,4.29,0.85,3.99,3.38,0.03,36.7
/root/snipersim_framework/config_l2_1024_l2MB_12_prefetch_simple_branch_512,13.65,17.21,0.69,7.07,1.82,1.9,1.3,2.46,1.98,5.44,4.29,0.85,3.99,3.38,0.03,35.19
/root/snipersim_framework/config_l2_512_l2MB_16_prefetch_simple_branch_1024,11.37,17.61,0.67,7.41,1.75,2.03,1.34,2.46,1.95,5.47,4.28,0.76,1.77,3.38,0.03,33.29
/root/snipersim_framework/config_l2_512_l2MB_4_prefetch_simple_branch_512,11.34,17.46,0.68,7.35,1.78,1.96,1.31,2.43,1.95,5.4,4.29,0.8,1.77,3.38,0.03,33.12
/root/snipersim_framework/config_l2_512_l2MB_8_prefetch_ghb_branch_2048,11.42,17.81,0.66,7.54,1.74,2.08,1.36,2.48,1.95,5.53,4.28,0.74,1.77,3.37,0.03,33.54
/root/snipersim_framework/config_l2_256_l2MB_8_prefetch_ghb_branch_2048,10.66,17.87,0.68,7.53,1.8,2.01,1.35,2.53,1.96,5.62,4.29,0.82,0.84,3.38,0.03,32.85
/root/snipersim_framework/config_l2_1024_l2MB_16_prefetch_none_branch_512,13.61,17.72,0.67,7.49,1.76,2.02,1.33,2.46,1.98,5.47,4.28,0.78,3.99,3.38,0.03,35.64
/root/snipersim_framework/config_l2_256_l2MB_8_prefetch_simple_branch_2048,10.58,17.53,0.68,7.29,1.8,1.97,1.33,2.5,1.96,5.54,4.29,0.82,0.84,3.38,0.03,32.42
/root/snipersim_framework/config_l2_256_l2MB_12_prefetch_simple_branch_512,10.49,17.82,0.66,7.55,1.74,2.08,1.36,2.48,1.96,5.53,4.28,0.74,0.84,3.38,0.03,32.63
