Directory,cache,core,core-alu,core-core,core-fp,core-ifetch,core-int,core-mem,core-other,dcache,dram,icache,l2,l3,other,total
/root/snipersim_framework/config_l2_256_l3MB_8192_prefetch_none_branch_512-512_barnes,10.64,19.23,0.68,8.72,1.8,2.08,1.43,2.53,1.98,5.6,4.29,0.82,0.84,3.38,0.03,34.18
/root/snipersim_framework/config_l2_256_l3MB_8192_prefetch_none_branch_4096-1024_barnes,11.47,21.52,0.69,10.16,1.82,2.39,1.58,2.9,1.98,6.4,4.29,0.85,0.84,3.38,0.03,37.31
/root/snipersim_framework/config_l2_256_l3MB_8192_prefetch_none_branch_512-2048_barnes,11.23,20.8,0.69,9.7,1.82,2.28,1.53,2.79,1.98,6.16,4.29,0.85,0.84,3.38,0.03,36.34
/root/snipersim_framework/config_l2_256_l3MB_8192_prefetch_none_branch_2048_barnes,10.59,17.55,0.68,7.3,1.8,1.97,1.33,2.5,1.96,5.55,4.29,0.82,0.84,3.38,0.03,32.46
/root/snipersim_framework/config_l2_256_l3MB_8192_prefetch_none_branch_2048-512_barnes,10.98,20.07,0.69,9.24,1.82,2.18,1.48,2.68,1.98,5.91,4.29,0.85,0.84,3.38,0.03,35.37
/root/snipersim_framework/config_l2_256_l3MB_8192_prefetch_none_branch_2048-4096_barnes,11.32,21.22,0.68,9.98,1.8,2.37,1.57,2.84,1.98,6.28,4.29,0.83,0.84,3.38,0.03,36.86
/root/snipersim_framework/config_l2_256_l3MB_8192_prefetch_none_branch_512-4096_barnes,11.34,20.73,0.71,9.61,1.87,2.21,1.52,2.82,1.98,6.2,4.3,0.92,0.84,3.38,0.03,36.39
/root/snipersim_framework/config_l2_256_l3MB_8192_prefetch_none_branch_1024-2048_barnes,11.15,20.39,0.7,9.42,1.84,2.2,1.5,2.75,1.98,6.05,4.29,0.88,0.84,3.38,0.03,35.86
/root/snipersim_framework/config_l2_256_l3MB_8192_prefetch_none_branch_4096_barnes,9.87,15.94,0.67,6.38,1.77,1.76,1.21,2.19,1.96,4.88,4.28,0.78,0.84,3.38,0.03,30.13
/root/snipersim_framework/config_l2_256_l3MB_8192_prefetch_none_branch_4096-4096_barnes,11.33,20.72,0.71,9.61,1.87,2.21,1.52,2.82,1.98,6.2,4.3,0.92,0.84,3.38,0.03,36.38
/root/snipersim_framework/config_l2_256_l3MB_8192_prefetch_none_branch_2048-2048_barnes,11.26,20.86,0.69,9.74,1.82,2.29,1.54,2.8,1.98,6.18,4.29,0.85,0.84,3.38,0.03,36.44
/root/snipersim_framework/config_l2_256_l3MB_8192_prefetch_none_branch_1024-512_barnes,11.26,20.88,0.69,9.75,1.82,2.29,1.54,2.81,1.98,6.19,4.29,0.85,0.84,3.38,0.03,36.45
/root/snipersim_framework/config_l2_256_l3MB_8192_prefetch_none_branch_1024-4096_barnes,11.1,20.58,0.68,9.58,1.8,2.28,1.52,2.74,1.98,6.06,4.29,0.83,0.84,3.38,0.03,36.0
/root/snipersim_framework/config_l2_256_l3MB_8192_prefetch_none_branch_1024_barnes,10.82,18.35,0.68,7.81,1.78,2.11,1.39,2.62,1.96,5.81,4.29,0.8,0.84,3.38,0.03,33.49
/root/snipersim_framework/config_l2_256_l3MB_8192_prefetch_none_branch_2048-1024_barnes,11.23,20.8,0.69,9.7,1.82,2.28,1.53,2.79,1.98,6.16,4.29,0.85,0.84,3.38,0.03,36.35
/root/snipersim_framework/config_l2_256_l3MB_8192_prefetch_none_branch_512-1024_barnes,11.48,21.53,0.69,10.16,1.82,2.39,1.58,2.91,1.98,6.41,4.29,0.85,0.84,3.38,0.03,37.33
/root/snipersim_framework/config_l2_256_l3MB_8192_prefetch_none_branch_4096-2048_barnes,11.24,20.83,0.69,9.72,1.82,2.29,1.54,2.8,1.98,6.17,4.29,0.85,0.84,3.38,0.03,36.38
/root/snipersim_framework/config_l2_256_l3MB_8192_prefetch_none_branch_4096-512_barnes,11.47,21.51,0.69,10.15,1.82,2.39,1.58,2.9,1.98,6.4,4.29,0.85,0.84,3.38,0.03,37.3
/root/snipersim_framework/config_l2_256_l3MB_8192_prefetch_none_branch_512_barnes,10.58,17.95,0.67,7.62,1.76,2.06,1.36,2.51,1.96,5.59,4.28,0.78,0.84,3.38,0.03,32.85
/root/snipersim_framework/config_l2_256_l3MB_8192_prefetch_none_branch_1024-1024_barnes,11.46,21.48,0.69,10.13,1.82,2.38,1.58,2.9,1.98,6.39,4.29,0.85,0.84,3.38,0.03,37.26
