Directory,cache,core,core-alu,core-core,core-fp,core-ifetch,core-int,core-mem,core-other,dcache,dram,icache,l2,l3,other,total
/root/snipersim_framework/freq_2.6_1.8_barnes_config_l2_512_l3MB_12288_prefetch_ghb_branch_512,9.5,14.04,0.64,5.39,1.68,1.56,1.07,1.75,1.95,3.96,4.28,0.67,1.49,3.38,0.03,27.84
/root/snipersim_framework/freq_2.6_1.8_barnes_config_l2_256_l3MB_4096_prefetch_none_branch_2048,8.53,12.89,0.66,4.66,1.72,1.34,0.98,1.59,1.96,3.59,4.28,0.72,0.84,3.38,0.03,25.74
/root/snipersim_framework/freq_2.6_1.8_barnes_config_l2_256_l3MB_16384_prefetch_ghb_branch_4096,8.87,14.12,0.65,5.45,1.69,1.56,1.07,1.76,1.96,3.97,4.28,0.68,0.84,3.37,0.03,27.3
/root/snipersim_framework/freq_2.6_1.8_barnes_config_l2_256_l3MB_4096_prefetch_simple_branch_2048,8.62,13.09,0.66,4.76,1.72,1.37,0.99,1.63,1.96,3.68,4.28,0.72,0.84,3.38,0.03,26.02
/root/snipersim_framework/freq_2.6_1.8_barnes_config_l2_256_l3MB_12288_prefetch_simple_branch_2048,8.44,12.69,0.65,4.53,1.7,1.33,0.97,1.55,1.96,3.52,4.28,0.7,0.84,3.38,0.03,25.44
/root/snipersim_framework/freq_2.6_1.8_barnes_config_l2_1024_l3MB_8192_prefetch_none_branch_512,10.89,13.36,0.66,4.93,1.73,1.4,1.01,1.68,1.96,3.79,4.29,0.73,2.99,3.38,0.03,28.57
/root/snipersim_framework/freq_2.6_1.8_barnes_config_l2_1024_l3MB_8192_prefetch_none_branch_2048,10.89,13.5,0.66,5.04,1.72,1.43,1.02,1.69,1.96,3.81,4.28,0.72,2.99,3.38,0.03,28.71
/root/snipersim_framework/freq_2.6_1.8_barnes_config_l2_512_l3MB_8192_prefetch_simple_branch_512,9.4,13.38,0.66,4.94,1.73,1.4,1.01,1.68,1.95,3.8,4.29,0.73,1.5,3.38,0.03,27.09
/root/snipersim_framework/freq_2.6_1.8_barnes_config_l2_256_l3MB_16384_prefetch_none_branch_4096,8.85,13.87,0.65,5.26,1.7,1.5,1.05,1.74,1.96,3.93,4.28,0.7,0.84,3.38,0.03,27.03
/root/snipersim_framework/freq_2.6_1.8_barnes_config_l2_256_l3MB_16384_prefetch_simple_branch_2048,8.57,13.11,0.65,4.81,1.71,1.38,0.99,1.61,1.96,3.65,4.28,0.7,0.84,3.38,0.03,25.99
/root/snipersim_framework/freq_2.6_1.8_barnes_config_l2_512_l3MB_4096_prefetch_ghb_branch_4096,9.51,14.06,0.64,5.4,1.68,1.56,1.07,1.76,1.95,3.98,4.28,0.67,1.49,3.37,0.03,27.87
/root/snipersim_framework/freq_2.6_1.8_barnes_config_l2_1024_l3MB_4096_prefetch_none_branch_512,10.75,13.05,0.66,4.74,1.72,1.37,0.99,1.62,1.96,3.67,4.28,0.72,2.99,3.38,0.03,28.12
/root/snipersim_framework/freq_2.6_1.8_barnes_config_l2_512_l3MB_16384_prefetch_simple_branch_4096,9.5,13.97,0.65,5.35,1.69,1.53,1.06,1.75,1.95,3.95,4.28,0.69,1.49,3.37,0.03,27.78
/root/snipersim_framework/freq_2.6_1.8_barnes_config_l2_256_l3MB_8192_prefetch_none_branch_1024,8.54,12.77,0.66,4.55,1.73,1.31,0.97,1.59,1.96,3.59,4.29,0.73,0.84,3.38,0.03,25.62
/root/snipersim_framework/freq_2.6_1.8_barnes_config_l2_512_l3MB_16384_prefetch_ghb_branch_4096,9.22,12.96,0.66,4.7,1.72,1.35,0.98,1.61,1.95,3.63,4.28,0.72,1.49,3.38,0.03,26.49
/root/snipersim_framework/freq_2.6_1.8_barnes_config_l2_1024_l3MB_16384_prefetch_simple_branch_4096,10.89,13.6,0.65,5.1,1.7,1.47,1.03,1.7,1.96,3.84,4.28,0.69,2.99,3.37,0.03,28.8
/root/snipersim_framework/freq_2.6_1.8_barnes_config_l2_512_l3MB_12288_prefetch_none_branch_1024,9.51,13.87,0.65,5.27,1.71,1.5,1.05,1.74,1.95,3.94,4.28,0.7,1.49,3.38,0.03,27.69
/root/snipersim_framework/freq_2.6_1.8_barnes_config_l2_256_l3MB_12288_prefetch_none_branch_2048,8.58,13.35,0.64,4.97,1.68,1.45,1.01,1.63,1.96,3.7,4.28,0.67,0.84,3.38,0.03,26.24
/root/snipersim_framework/freq_2.6_1.8_barnes_config_l2_512_l3MB_8192_prefetch_none_branch_2048,9.34,13.49,0.65,5.04,1.69,1.46,1.03,1.67,1.95,3.79,4.28,0.69,1.49,3.37,0.03,27.14
/root/snipersim_framework/freq_2.6_1.8_barnes_config_l2_512_l3MB_8192_prefetch_none_branch_1024,9.56,14.1,0.65,5.41,1.7,1.55,1.07,1.77,1.95,4.01,4.28,0.69,1.49,3.37,0.03,27.97
/root/snipersim_framework/freq_2.6_1.8_barnes_config_l2_512_l3MB_8192_prefetch_ghb_branch_2048,9.25,13.17,0.65,4.84,1.71,1.39,1.0,1.63,1.95,3.68,4.28,0.71,1.49,3.38,0.03,26.73
/root/snipersim_framework/freq_2.6_1.8_barnes_config_l2_512_l3MB_4096_prefetch_ghb_branch_1024,9.57,14.11,0.65,5.42,1.69,1.55,1.07,1.77,1.95,4.01,4.28,0.69,1.49,3.37,0.03,27.98
/root/snipersim_framework/freq_2.6_1.8_barnes_config_l2_512_l3MB_4096_prefetch_ghb_branch_512,9.23,12.83,0.66,4.59,1.73,1.32,0.97,1.6,1.95,3.62,4.29,0.74,1.5,3.38,0.03,26.38
/root/snipersim_framework/freq_2.6_1.8_barnes_config_l2_1024_l3MB_8192_prefetch_none_branch_1024,10.89,13.36,0.66,4.92,1.73,1.4,1.01,1.68,1.96,3.79,4.29,0.73,3.0,3.38,0.03,28.57
/root/snipersim_framework/freq_2.6_1.8_barnes_config_l2_1024_l3MB_16384_prefetch_ghb_branch_1024,10.75,13.16,0.65,4.84,1.71,1.39,1.0,1.62,1.96,3.68,4.28,0.71,2.99,3.38,0.03,28.23
/root/snipersim_framework/freq_2.6_1.8_barnes_config_l2_256_l3MB_4096_prefetch_ghb_branch_1024,8.63,13.11,0.66,4.77,1.72,1.37,1.0,1.63,1.96,3.69,4.28,0.72,0.84,3.38,0.03,26.05
/root/snipersim_framework/freq_2.6_1.8_barnes_config_l2_256_l3MB_8192_prefetch_ghb_branch_2048,8.74,13.73,0.65,5.2,1.69,1.5,1.04,1.7,1.96,3.85,4.28,0.68,0.84,3.38,0.03,26.78
/root/snipersim_framework/freq_2.6_1.8_barnes_config_l2_512_l3MB_16384_prefetch_ghb_branch_512,9.46,13.64,0.66,5.11,1.72,1.45,1.03,1.72,1.95,3.87,4.28,0.72,1.49,3.38,0.03,27.41
/root/snipersim_framework/freq_2.6_1.8_barnes_config_l2_256_l3MB_16384_prefetch_none_branch_512,8.79,13.47,0.66,4.99,1.73,1.41,1.02,1.7,1.96,3.83,4.29,0.74,0.84,3.38,0.03,26.57
/root/snipersim_framework/freq_2.6_1.8_barnes_config_l2_256_l3MB_8192_prefetch_ghb_branch_512,8.75,13.52,0.66,5.05,1.72,1.43,1.02,1.69,1.96,3.82,4.28,0.72,0.84,3.38,0.03,26.59
/root/snipersim_framework/freq_2.6_1.8_barnes_config_l2_1024_l3MB_12288_prefetch_none_branch_2048,10.83,13.46,0.65,5.02,1.69,1.45,1.02,1.67,1.96,3.77,4.28,0.69,2.99,3.37,0.03,28.6
/root/snipersim_framework/freq_2.6_1.8_barnes_config_l2_256_l3MB_8192_prefetch_simple_branch_4096,8.62,13.22,0.65,4.87,1.71,1.4,1.0,1.63,1.96,3.69,4.28,0.71,0.84,3.38,0.03,26.15
/root/snipersim_framework/freq_2.6_1.8_barnes_config_l2_512_l3MB_4096_prefetch_ghb_branch_2048,9.23,13.23,0.65,4.89,1.69,1.43,1.01,1.62,1.95,3.68,4.28,0.68,1.49,3.38,0.03,26.77
/root/snipersim_framework/freq_2.6_1.8_barnes_config_l2_512_l3MB_8192_prefetch_none_branch_512,9.46,13.65,0.66,5.12,1.72,1.45,1.03,1.72,1.95,3.88,4.28,0.72,1.49,3.38,0.03,27.42
/root/snipersim_framework/freq_2.6_1.8_barnes_config_l2_512_l3MB_16384_prefetch_none_branch_4096,9.45,13.62,0.66,5.1,1.72,1.45,1.03,1.71,1.95,3.87,4.28,0.72,1.49,3.38,0.03,27.39
/root/snipersim_framework/freq_2.6_1.8_barnes_config_l2_256_l3MB_4096_prefetch_ghb_branch_2048,8.47,12.61,0.66,4.45,1.72,1.3,0.96,1.56,1.96,3.53,4.28,0.72,0.84,3.38,0.03,25.4
/root/snipersim_framework/freq_2.6_1.8_barnes_config_l2_256_l3MB_16384_prefetch_simple_branch_1024,8.45,12.71,0.65,4.54,1.71,1.33,0.97,1.56,1.96,3.53,4.28,0.7,0.84,3.38,0.03,25.47
/root/snipersim_framework/freq_2.6_1.8_barnes_config_l2_512_l3MB_8192_prefetch_ghb_branch_4096,9.21,12.93,0.66,4.68,1.72,1.35,0.98,1.6,1.95,3.62,4.28,0.72,1.49,3.38,0.03,26.45
/root/snipersim_framework/freq_2.6_1.8_barnes_config_l2_1024_l3MB_8192_prefetch_ghb_branch_4096,10.67,12.99,0.65,4.72,1.7,1.38,0.99,1.59,1.96,3.62,4.28,0.69,2.99,3.37,0.03,27.97
/root/snipersim_framework/freq_2.6_1.8_barnes_config_l2_512_l3MB_12288_prefetch_simple_branch_2048,9.38,13.44,0.65,4.99,1.71,1.44,1.02,1.68,1.95,3.8,4.28,0.71,1.49,3.38,0.03,27.12
/root/snipersim_framework/freq_2.6_1.8_barnes_config_l2_1024_l3MB_4096_prefetch_ghb_branch_2048,10.95,13.63,0.66,5.11,1.72,1.45,1.03,1.71,1.96,3.87,4.28,0.72,2.99,3.38,0.03,28.9
/root/snipersim_framework/freq_2.6_1.8_barnes_config_l2_1024_l3MB_8192_prefetch_simple_branch_4096,10.9,13.6,0.65,5.1,1.7,1.47,1.04,1.7,1.96,3.84,4.28,0.69,2.99,3.37,0.03,28.81
/root/snipersim_framework/freq_2.6_1.8_barnes_config_l2_256_l3MB_8192_prefetch_none_branch_512,8.85,13.75,0.66,5.17,1.72,1.47,1.04,1.74,1.96,3.91,4.28,0.72,0.84,3.38,0.03,26.91
/root/snipersim_framework/freq_2.6_1.8_barnes_config_l2_512_l3MB_12288_prefetch_simple_branch_512,9.32,13.32,0.65,4.93,1.71,1.42,1.01,1.66,1.95,3.75,4.28,0.71,1.49,3.38,0.03,26.96
/root/snipersim_framework/freq_2.6_1.8_barnes_config_l2_256_l3MB_4096_prefetch_simple_branch_4096,8.86,13.9,0.65,5.27,1.71,1.5,1.05,1.75,1.96,3.95,4.28,0.7,0.84,3.38,0.03,27.07
/root/snipersim_framework/freq_2.6_1.8_barnes_config_l2_1024_l3MB_12288_prefetch_ghb_branch_512,10.49,12.32,0.66,4.3,1.72,1.25,0.94,1.5,1.96,3.4,4.28,0.72,2.99,3.38,0.03,27.13
