Directory,cache,core,core-alu,core-core,core-fp,core-ifetch,core-int,core-mem,core-other,dcache,dram,icache,l2,l3,other,total
/root/snipersim_framework/radiosity_config_l2_512_l3MB_4096_prefetch_simple_branch_512,11.08,17.71,0.79,7.7,2.09,1.84,1.29,2.04,1.95,4.3,5.62,1.58,1.78,3.43,0.03,34.44
/root/snipersim_framework/radiosity_config_l2_512_l3MB_8192_prefetch_ghb_branch_2048,11.14,17.8,0.8,7.75,2.1,1.84,1.3,2.07,1.95,4.36,5.64,1.58,1.78,3.43,0.03,34.61
/root/snipersim_framework/radiosity_config_l2_1024_l3MB_8192_prefetch_none_branch_1024,13.27,17.79,0.79,7.76,2.08,1.87,1.3,2.02,1.98,4.24,5.6,1.61,4.0,3.42,0.03,36.7
/root/snipersim_framework/radiosity_config_l2_256_l3MB_4096_prefetch_ghb_branch_512,10.22,17.94,0.8,7.86,2.09,1.88,1.31,2.06,1.96,4.32,5.63,1.62,0.85,3.43,0.03,33.82
/root/snipersim_framework/radiosity_config_l2_256_l3MB_8192_prefetch_simple_branch_1024,10.19,17.9,0.79,7.85,2.08,1.87,1.31,2.04,1.96,4.29,5.62,1.61,0.85,3.43,0.03,33.74
/root/snipersim_framework/radiosity_config_l2_256_l3MB_8192_prefetch_none_branch_2048,10.26,17.91,0.8,7.81,2.1,1.85,1.3,2.08,1.96,4.4,5.66,1.58,0.85,3.43,0.03,33.86
/root/snipersim_framework/radiosity_config_l2_512_l3MB_8192_prefetch_simple_branch_1024,11.07,17.76,0.79,7.75,2.08,1.86,1.3,2.03,1.95,4.27,5.62,1.6,1.78,3.42,0.03,34.48
/root/snipersim_framework/radiosity_config_l2_1024_l3MB_16384_prefetch_ghb_branch_1024,13.31,17.94,0.79,7.86,2.08,1.88,1.31,2.03,1.98,4.26,5.61,1.63,4.0,3.42,0.03,36.89
/root/snipersim_framework/radiosity_config_l2_1024_l3MB_8192_prefetch_ghb_branch_512,13.49,18.17,0.8,7.96,2.11,1.88,1.31,2.12,1.98,4.46,5.68,1.6,4.0,3.42,0.03,37.38
/root/snipersim_framework/radiosity_config_l2_512_l3MB_16384_prefetch_none_branch_512,11.28,18.03,0.81,7.87,2.12,1.85,1.3,2.13,1.95,4.5,5.7,1.57,1.78,3.43,0.03,35.04
/root/snipersim_framework/radiosity_config_l2_1024_l3MB_16384_prefetch_none_branch_512,13.35,17.99,0.79,7.88,2.09,1.88,1.31,2.05,1.98,4.3,5.63,1.63,4.0,3.42,0.03,37.0
/root/snipersim_framework/radiosity_config_l2_256_l3MB_16384_prefetch_ghb_branch_4096,10.26,18.0,0.8,7.89,2.1,1.87,1.31,2.08,1.96,4.38,5.65,1.6,0.85,3.43,0.03,33.94
/root/snipersim_framework/radiosity_config_l2_256_l3MB_8192_prefetch_ghb_branch_1024,10.28,17.89,0.8,7.79,2.11,1.84,1.3,2.09,1.96,4.42,5.67,1.57,0.85,3.43,0.03,33.86
/root/snipersim_framework/radiosity_config_l2_1024_l3MB_12288_prefetch_ghb_branch_2048,13.4,17.99,0.8,7.86,2.1,1.86,1.31,2.08,1.98,4.38,5.66,1.6,4.0,3.42,0.03,37.07
