directory,branch_misprediction_1,l2_cache_miss_1,l3_cache_miss_1,time_ns_1,branch_misprediction_2,l2_cache_miss_2,l3_cache_miss_2,time_ns_2
/root/snipersim_framework/config_l2_1024_l2MB_8_prefetch_ghb_branch_1024,117767,8712,6563,17407000,112966,6702,854,17407000
/root/snipersim_framework/config_l2_512_l2MB_4_prefetch_ghb_branch_1024,117817,8671,6574,17374100,112949,6607,827,17374100
/root/snipersim_framework/config_l2_512_l2MB_16_prefetch_ghb_branch_4096,116874,8594,6490,16442300,113078,6626,817,16442300
/root/snipersim_framework/config_l2_256_l2MB_4_prefetch_none_branch_512,117171,10446,6485,15491700,114654,6149,808,15491700
/root/snipersim_framework/config_l2_1024_l2MB_8_prefetch_none_branch_4096,117202,8600,6481,17492600,112909,6738,831,17492600
/root/snipersim_framework/config_l2_256_l3MB_12288_prefetch_ghb_branch_2048,116811,10383,6420,18371000,111655,6085,876,18371000
/root/snipersim_framework/config_l2_512_l2MB_8_prefetch_none_branch_2048,118874,8366,6599,16612400,115094,6689,746,16612400
/root/snipersim_framework/config_baseline_l2_256_l3_4096_prefetcher_none_branch_512,,,,,,,,
/root/snipersim_framework/config_l2_512_l3MB_8192_prefetch_ghb_branch_512,118000,8724,6557,14475800,112884,6658,837,14475800
/root/snipersim_framework/config_l2_512_l3MB_8192_prefetch_none_branch_512,116658,8806,6380,17465400,112756,6607,964,17465400
/root/snipersim_framework/config_l2_512_l2MB_16_prefetch_ghb_branch_512,118403,8316,6589,17552800,115480,6742,759,17552800
/root/snipersim_framework/config_l2_1024_l2MB_16_prefetch_ghb_branch_2048,117172,8733,6550,18460800,113862,6971,871,18460800
/root/snipersim_framework/config_l2_1024_l3MB_8192_prefetch_simple_branch_1024,117970,8615,6560,15462700,111883,6612,827,15462700
/root/snipersim_framework/config_l2_1024_l2MB_12_prefetch_ghb_branch_4096,116714,8573,6528,18404500,112862,6571,805,18404500
/root/snipersim_framework/config_l2_256_l3MB_8192_prefetch_ghb_branch_512,117946,10325,6622,16517700,112969,6103,756,16517700
/root/snipersim_framework/config_l2_512_l3MB_4096_prefetch_simple_branch_2048,116827,8601,6447,19328000,112707,6687,848,19328000
/root/snipersim_framework/config_l2_1024_l3MB_8192_prefetch_none_branch_2048,117751,8333,6618,15510700,113282,6704,760,15510700
/root/snipersim_framework/config_l2_256_l3MB_12288_prefetch_simple_branch_1024,117220,10204,6518,17489000,115316,6231,779,17489000
/root/snipersim_framework/config_l2_256_l3MB_12288_prefetch_ghb_branch_1024,117775,10651,6567,17387000,113129,5980,850,17387000
/root/snipersim_framework/config_l2_1024_l3MB_16384_prefetch_simple_branch_2048,116604,8553,6483,18397900,112468,6750,830,18397900
/root/snipersim_framework/config_l2_1024_l2MB_12_prefetch_none_branch_512,116758,8647,6411,16428700,112810,6512,891,16428700
/root/snipersim_framework/config_l2_512_l2MB_16_prefetch_simple_branch_512,118381,8385,6591,17540800,114295,6694,754,17540800
/root/snipersim_framework/config_l2_256_l2MB_12_prefetch_ghb_branch_2048,118458,10240,6624,15541400,114512,6229,751,15541400
/root/snipersim_framework/config_l2_1024_l3MB_12288_prefetch_ghb_branch_4096,117756,8601,6587,17433500,112610,6752,798,17433500
/root/snipersim_framework/config_l2_512_l2MB_8_prefetch_none_branch_1024,118416,8379,6589,15554900,114652,6736,750,15554900
/root/snipersim_framework/config_l2_512_l2MB_8_prefetch_none_branch_512,116596,8530,6581,16401200,113061,6907,797,16401200
/root/snipersim_framework/config_l2_1024_l3MB_16384_prefetch_simple_branch_1024,118961,8313,6586,17528600,113694,6768,756,17528600
/root/snipersim_framework/config_l2_512_l2MB_8_prefetch_ghb_branch_512,117787,8654,6527,15454200,113385,6776,808,15454200
/root/snipersim_framework/config_l2_512_l3MB_4096_prefetch_ghb_branch_512,117919,8687,6547,16435600,113291,6681,816,16435600
/root/snipersim_framework/config_l2_1024_l2MB_12_prefetch_ghb_branch_1024,117300,8565,6531,17536000,113834,6815,778,17536000
/root/snipersim_framework/config_l2_512_l3MB_4096_prefetch_none_branch_4096,117267,8770,6474,13552500,114210,6859,881,13552500
/root/snipersim_framework/config_l2_1024_l2MB_16_prefetch_none_branch_1024,117868,8678,6527,15449900,113145,6732,816,15449900
/root/snipersim_framework/config_l2_1024_l2MB_12_prefetch_simple_branch_512,118363,8334,6591,15560600,115472,6731,757,15560600
/root/snipersim_framework/config_l2_512_l3MB_4096_prefetch_simple_branch_1024,117371,8680,6534,14470200,112459,6705,775,14470200
/root/snipersim_framework/config_l2_512_l2MB_16_prefetch_simple_branch_1024,117256,8616,6446,19432800,114426,6731,863,19432800
/root/snipersim_framework/config_l2_1024_l3MB_4096_prefetch_none_branch_1024,117935,8653,6548,17398400,113359,6739,821,17398400
/root/snipersim_framework/config_l2_512_l2MB_4_prefetch_simple_branch_512,117540,8638,6504,17432200,113011,6743,850,17432200
/root/snipersim_framework/config_l2_256_l3MB_16384_prefetch_ghb_branch_2048,117159,10431,6471,17485700,113365,6182,835,17485700
/root/snipersim_framework/config_l2_1024_l2MB_8_prefetch_none_branch_1024,118785,8511,6486,17498200,114107,6760,810,17498200
/root/snipersim_framework/config_l2_256_l2MB_8_prefetch_ghb_branch_2048,117726,10464,6542,16420300,113011,6083,810,16420300
/root/snipersim_framework/config_l2_256_l3MB_16384_prefetch_none_branch_4096,118096,10326,6494,17402100,113367,6227,797,17402100
/root/snipersim_framework/config_l2_1024_l2MB_16_prefetch_none_branch_512,117828,8444,6544,18414200,112665,6711,803,18414200
/root/snipersim_framework/config_l2_256_l2MB_8_prefetch_simple_branch_2048,117062,10381,6509,16493100,114829,6220,801,16493100
/root/snipersim_framework/config_l2_1024_l3MB_16384_prefetch_ghb_branch_512,118977,8345,6588,17535500,115229,6739,755,17535500
/root/snipersim_framework/config_l2_512_l2MB_12_prefetch_none_branch_512,116842,8613,6444,15479700,112733,6672,854,15479700
/root/snipersim_framework/config_l2_256_l2MB_12_prefetch_simple_branch_512,117859,10355,6516,20391300,111831,6409,804,20391300
/root/snipersim_framework/config_l2_512_l2MB_16_prefetch_ghb_branch_1024,118311,8351,6587,18500100,113204,6756,760,18500100
/root/snipersim_framework/config_l2_1024_l2MB_8_prefetch_none_branch_512,117900,8401,6588,17480900,112220,6646,756,17480900
/root/snipersim_framework/config_l2_256_l2MB_16_prefetch_simple_branch_512,117926,10203,6624,17474100,113001,6109,755,17474100
/root/snipersim_framework/config_l2_1024_l2MB_8_prefetch_ghb_branch_512,118728,8555,6489,15519200,114142,6728,806,15519200
