directory,branch_misprediction_1,l2_cache_miss_1,l3_cache_miss_1,time_ns_1,cycles_1,instructions_1,branch_misprediction_2,l2_cache_miss_2,l3_cache_miss_2,time_ns_2,cycles_2,instructions_2
/root/snipersim_framework/config_baseline_l2_256_l3_4096_prefetcher_none_branch_512,,,,,,,,,,,,
/root/snipersim_framework/config_l2_512_l3MB_8192_prefetch_ghb_branch_512,118000,8724,6557,14475800,38505628,69593870,112884,6658,837,14475800,38505628,54266254
/root/snipersim_framework/config_l2_256_l3MB_16384_prefetch_none_branch_4096,118096,10326,6494,17402100,46289586,92902085,113367,6227,797,17402100,46289586,64727333
/root/snipersim_framework/config_l2_256_l3MB_4096_prefetch_ghb_branch_1024,118274,10618,6592,16408900,43647674,61762135,114370,6213,852,16408900,43647674,59134609
/root/snipersim_framework/config_l2_1024_l3MB_8192_prefetch_simple_branch_1024,117970,8615,6560,15462700,41130782,69881339,111883,6612,827,15462700,41130782,59569096
/root/snipersim_framework/config_l2_256_l3MB_8192_prefetch_simple_branch_2048,116588,10543,6456,17407400,46303684,92959721,112845,6325,904,17407400,46303684,59478324
/root/snipersim_framework/config_l2_256_l3MB_8192_prefetch_ghb_branch_512,117946,10325,6622,16517700,43937082,77513201,112969,6103,756,16517700,43937082,54298511
/root/snipersim_framework/config_l2_512_l3MB_4096_prefetch_simple_branch_2048,116827,8601,6447,19328000,51412480,100353692,112707,6687,848,19328000,51412480,64370646
/root/snipersim_framework/config_l2_1024_l3MB_16384_prefetch_none_branch_512,117317,8621,6484,17496400,46540424,93297306,114217,6725,861,17496400,46540424,59750650
/root/snipersim_framework/config_l2_256_l3MB_12288_prefetch_simple_branch_512,118034,10173,6626,16471000,43812860,85217510,112963,6224,756,16471000,43812860,59446684
/root/snipersim_framework/config_l2_1024_l3MB_12288_prefetch_ghb_branch_4096,117756,8601,6587,17433500,46373110,93151189,112610,6752,798,17433500,46373110,49142733
/root/snipersim_framework/config_l2_1024_l3MB_16384_prefetch_simple_branch_1024,118961,8313,6586,17528600,46626076,93263951,113694,6768,756,17528600,46626076,59475970
/root/snipersim_framework/config_l2_512_l3MB_4096_prefetch_ghb_branch_512,117919,8687,6547,16435600,43718696,85232934,113291,6681,816,16435600,43718696,54262068
/root/snipersim_framework/config_l2_512_l3MB_4096_prefetch_none_branch_4096,117267,8770,6474,13552500,36049650,54073626,114210,6859,881,13552500,36049650,49040565
/root/snipersim_framework/config_l2_1024_l3MB_12288_prefetch_simple_branch_512,118831,8613,6564,19457600,51757216,108870845,114404,6908,851,19457600,51757216,54628416
/root/snipersim_framework/config_l2_512_l3MB_4096_prefetch_simple_branch_1024,117371,8680,6534,14470200,38490732,61792135,112459,6705,775,14470200,38490732,54189648
/root/snipersim_framework/config_l2_512_l3MB_16384_prefetch_ghb_branch_512,117840,8708,6513,15415300,41004698,69342739,113089,6722,827,15415300,41004698,59235688
