directory,branch_misprediction_1,l2_cache_miss_1,l3_cache_miss_1,time_ns_1,cycles_1,instructions_1,branch_misprediction_2,l2_cache_miss_2,l3_cache_miss_2,time_ns_2,cycles_2,instructions_2
/root/snipersim_framework/config_l2_256_l3MB_8192_prefetch_none_branch_512-512_barnes,117130,10762,6586,16362000,43522920,69974445,115057,6355,819,16362000,43522920,67875905
/root/snipersim_framework/config_l2_256_l3MB_8192_prefetch_none_branch_4096-1024_barnes,118158,10424,6417,15344700,40816902,77888142,113313,5752,885,15344700,40816902,75735538
/root/snipersim_framework/config_l2_256_l3MB_8192_prefetch_none_branch_512-2048_barnes,117900,10172,6626,15314400,40736304,77602083,114015,5983,713,15314400,40736304,67544753
/root/snipersim_framework/config_l2_256_l3MB_8192_prefetch_none_branch_2048_barnes,118193,10385,6421,16378800,43567608,77258178,112565,6139,886,16378800,43567608,59348082
/root/snipersim_framework/config_l2_256_l3MB_8192_prefetch_none_branch_2048-512_barnes,116290,10352,6409,15329400,40776204,69658346,113308,5864,908,15329400,40776204,67489818
/root/snipersim_framework/config_l2_256_l3MB_8192_prefetch_none_branch_2048-4096_barnes,117671,10522,6474,16260600,43253196,77633828,112481,6070,951,16260600,43253196,83130692
/root/snipersim_framework/config_l2_256_l3MB_8192_prefetch_none_branch_512-4096_barnes,117962,10634,6578,13275900,35313894,61913024,112110,6185,823,13275900,35313894,59789477
/root/snipersim_framework/config_l2_256_l3MB_8192_prefetch_none_branch_1024-2048_barnes,117823,10335,6668,14312300,38070718,69865456,112664,6025,715,14312300,38070718,59810208
/root/snipersim_framework/config_l2_256_l3MB_8192_prefetch_none_branch_4096_barnes,118855,10215,6529,18427700,49017682,77390741,114713,6202,777,18427700,49017682,54290918
/root/snipersim_framework/config_l2_256_l3MB_8192_prefetch_none_branch_4096-4096_barnes,117730,10741,6609,13277700,35318682,61919418,113140,6081,809,13277700,35318682,59756755
/root/snipersim_framework/config_l2_256_l3MB_8192_prefetch_none_branch_2048-2048_barnes,117139,10518,6458,15235000,40525100,69674609,113219,5996,856,15235000,40525100,75171182
/root/snipersim_framework/config_l2_256_l3MB_8192_prefetch_none_branch_1024-512_barnes,118397,10440,6520,15282700,40651982,77644378,112789,5941,772,15282700,40651982,67898058
/root/snipersim_framework/config_l2_256_l3MB_8192_prefetch_none_branch_1024-4096_barnes,116574,10580,6364,16269900,43277934,85515770,113069,5771,914,16269900,43277934,67721029
/root/snipersim_framework/config_l2_256_l3MB_8192_prefetch_none_branch_1024_barnes,118149,10384,6415,17397900,46278414,92633283,112085,5846,888,17397900,46278414,64541699
/root/snipersim_framework/config_l2_256_l3MB_8192_prefetch_none_branch_2048-1024_barnes,118420,10127,6664,15339100,40802006,77664114,115660,6040,717,15339100,40802006,67624871
/root/snipersim_framework/config_l2_256_l3MB_8192_prefetch_none_branch_512-1024_barnes,116312,10638,6413,15288300,40666878,77612988,112827,6301,968,15288300,40666878,75493283
/root/snipersim_framework/config_l2_256_l3MB_8192_prefetch_none_branch_4096-2048_barnes,117981,10320,6673,15271600,40622456,77524386,112773,5984,714,15271600,40622456,67470167
/root/snipersim_framework/config_l2_256_l3MB_8192_prefetch_none_branch_4096-512_barnes,118482,10574,6580,15351200,40834192,77919343,114149,5989,798,15351200,40834192,75538740
/root/snipersim_framework/config_l2_256_l3MB_8192_prefetch_none_branch_512_barnes,117764,10091,6625,18432600,49030716,100859799,112753,6070,758,18432600,49030716,59437259
/root/snipersim_framework/config_l2_256_l3MB_8192_prefetch_none_branch_1024-1024_barnes,118025,10310,6650,15310600,40726196,77590165,112792,5935,711,15310600,40726196,75197069
