directory,branch_misprediction_1,l2_cache_miss_1,l3_cache_miss_1,time_ns_1,cycles_1,branch_misprediction_2,l2_cache_miss_2,l3_cache_miss_2,time_ns_2,cycles_2
/root/snipersim_framework/cholesky_config_l2_512_l3MB_8192_prefetch_simple_branch_2048,50785,101930,50663,20578400,54738544,8507,30374,8505,20578400,54738544
/root/snipersim_framework/cholesky_config_l2_1024_l3MB_12288_prefetch_ghb_branch_4096,50783,85189,50672,20540300,54637198,8490,28032,8500,20540300,54637198
/root/snipersim_framework/cholesky_config_l2_1024_l3MB_8192_prefetch_none_branch_4096,50856,85284,50672,20538300,54631878,8505,27879,8499,20538300,54631878
/root/snipersim_framework/cholesky_config_l2_512_l3MB_12288_prefetch_ghb_branch_512,50796,101988,50667,20576200,54732692,8499,30457,8497,20576200,54732692
/root/snipersim_framework/cholesky_config_l2_512_l3MB_16384_prefetch_none_branch_1024,50825,102093,50674,20575400,54730564,8492,30337,8497,20575400,54730564
/root/snipersim_framework/cholesky_config_l2_1024_l3MB_4096_prefetch_ghb_branch_4096,50821,84918,50664,20536500,54627090,8507,27964,8501,20536500,54627090
/root/snipersim_framework/cholesky_config_l2_256_l3MB_16384_prefetch_ghb_branch_2048,50792,128199,50654,20686100,55025026,8503,33392,8510,20686100,55025026
/root/snipersim_framework/cholesky_config_l2_256_l3MB_12288_prefetch_ghb_branch_1024,50789,128265,50664,20686000,55024760,8502,33426,8501,20686000,55024760
/root/snipersim_framework/cholesky_config_l2_1024_l3MB_16384_prefetch_simple_branch_2048,50786,84789,50662,20538500,54632410,8374,27882,8507,20538500,54632410
/root/snipersim_framework/cholesky_config_l2_1024_l3MB_8192_prefetch_simple_branch_2048,50825,84757,50665,20535700,54624962,8491,27829,8498,20535700,54624962
/root/snipersim_framework/cholesky_config_l2_1024_l3MB_8192_prefetch_ghb_branch_2048,50790,85145,50684,20539900,54636134,8514,27888,8490,20539900,54636134
/root/snipersim_framework/cholesky_config_l2_1024_l3MB_8192_prefetch_ghb_branch_1024,50804,84970,50663,20538800,54633208,8508,27960,8505,20538800,54633208
/root/snipersim_framework/cholesky_config_l2_256_l3MB_4096_prefetch_none_branch_512,50852,128573,50692,20694100,55046306,8517,33386,8488,20694100,55046306
/root/snipersim_framework/cholesky_config_l2_512_l3MB_4096_prefetch_simple_branch_512,50823,102032,50658,20580000,54742800,8511,30479,8512,20580000,54742800
/root/snipersim_framework/cholesky_config_l2_1024_l3MB_12288_prefetch_ghb_branch_512,50796,85031,50669,20538700,54632942,8500,27904,8495,20538700,54632942
/root/snipersim_framework/cholesky_config_l2_256_l3MB_4096_prefetch_ghb_branch_4096,50740,128353,50664,20687500,55028750,8476,33547,8506,20687500,55028750
/root/snipersim_framework/cholesky_config_l2_1024_l3MB_4096_prefetch_simple_branch_512,50786,85011,50666,20540000,54636400,8513,28067,8503,20540000,54636400
/root/snipersim_framework/cholesky_config_l2_1024_l3MB_12288_prefetch_none_branch_2048,50772,84840,50666,20536500,54627090,8497,28023,8503,20536500,54627090
/root/snipersim_framework/cholesky_config_l2_1024_l3MB_8192_prefetch_none_branch_1024,50837,84923,50663,20540500,54637730,8506,27862,8504,20540500,54637730
/root/snipersim_framework/cholesky_config_l2_256_l3MB_4096_prefetch_none_branch_2048,50786,128628,50668,20690100,55035666,8509,33511,8501,20690100,55035666
