directory,branch_misprediction_1,l2_cache_miss_1,l3_cache_miss_1,time_ns_1,branch_misprediction_2,l2_cache_miss_2,l3_cache_miss_2,time_ns_2
/root/snipersim_framework/config_l2_512_l3MB_4096_prefetch_none_branch_4096,117267,8770,6474,13552500,114210,6859,881,13552500
/root/snipersim_framework/config_l2_512_l3MB_12288_prefetch_simple_branch_4096,117942,8674,6563,14445500,112854,6784,833,14445500
/root/snipersim_framework/config_l2_512_l3MB_4096_prefetch_simple_branch_1024,117371,8680,6534,14470200,112459,6705,775,14470200
/root/snipersim_framework/config_l2_512_l3MB_8192_prefetch_ghb_branch_512,118000,8724,6557,14475800,112884,6658,837,14475800
/root/snipersim_framework/config_l2_512_l3MB_12288_prefetch_ghb_branch_4096,118469,8593,6581,14537700,114306,6827,791,14537700
/root/snipersim_framework/config_l2_512_l3MB_16384_prefetch_ghb_branch_4096,118396,8360,6591,14553400,114268,6743,749,14553400
/root/snipersim_framework/config_l2_256_l3MB_12288_prefetch_none_branch_512,117042,10463,6478,14577500,114618,6142,854,14577500
/root/snipersim_framework/config_l2_512_l3MB_16384_prefetch_ghb_branch_1024,117593,8576,6556,15383100,112406,6667,807,15383100
/root/snipersim_framework/config_l2_1024_l3MB_12288_prefetch_simple_branch_1024,118238,8582,6481,15405100,112259,6850,831,15405100
/root/snipersim_framework/config_l2_512_l3MB_16384_prefetch_ghb_branch_512,117840,8708,6513,15415300,113089,6722,827,15415300
/root/snipersim_framework/config_l2_1024_l3MB_12288_prefetch_none_branch_512,116533,8538,6424,15429800,111071,6519,860,15429800
/root/snipersim_framework/config_l2_256_l3MB_16384_prefetch_simple_branch_4096,116320,10570,6579,15437400,113149,6426,802,15437400
/root/snipersim_framework/config_l2_1024_l3MB_8192_prefetch_simple_branch_1024,117970,8615,6560,15462700,111883,6612,827,15462700
/root/snipersim_framework/config_l2_1024_l3MB_16384_prefetch_none_branch_2048,117789,8574,6568,15467400,112591,6686,824,15467400
/root/snipersim_framework/config_l2_512_l3MB_16384_prefetch_simple_branch_4096,116538,8703,6387,15467500,112832,6365,909,15467500
/root/snipersim_framework/config_l2_512_l3MB_16384_prefetch_none_branch_1024,117923,8578,6550,15472600,112859,6757,806,15472600
/root/snipersim_framework/config_l2_512_l3MB_12288_prefetch_none_branch_4096,117831,8607,6495,15472700,112935,6681,838,15472700
/root/snipersim_framework/config_l2_512_l3MB_4096_prefetch_none_branch_2048,117920,8424,6644,15486300,112943,6667,743,15486300
/root/snipersim_framework/config_l2_1024_l3MB_4096_prefetch_none_branch_4096,117900,8707,6602,15488600,112640,6757,807,15488600
/root/snipersim_framework/config_l2_512_l3MB_16384_prefetch_none_branch_512,117336,8618,6455,15489800,113851,6739,859,15489800
/root/snipersim_framework/config_l2_256_l3MB_16384_prefetch_simple_branch_512,117114,10153,6416,15494200,115849,6189,900,15494200
/root/snipersim_framework/config_l2_1024_l3MB_8192_prefetch_none_branch_512,116920,8503,6456,15496700,114497,6675,840,15496700
/root/snipersim_framework/config_l2_1024_l3MB_16384_prefetch_simple_branch_512,115333,9039,6486,15497300,114168,8946,867,15497300
/root/snipersim_framework/config_l2_512_l3MB_8192_prefetch_simple_branch_1024,117205,8613,6502,15508200,115493,6763,806,15508200
/root/snipersim_framework/config_l2_1024_l3MB_8192_prefetch_none_branch_2048,117751,8333,6618,15510700,113282,6704,760,15510700
/root/snipersim_framework/config_l2_512_l3MB_8192_prefetch_simple_branch_4096,116718,8643,6509,15517100,114747,6769,804,15517100
/root/snipersim_framework/config_l2_256_l3MB_4096_prefetch_none_branch_4096,117111,10474,6493,15527500,114549,6067,823,15527500
/root/snipersim_framework/config_l2_256_l3MB_4096_prefetch_none_branch_1024,118269,10439,6554,15535000,113426,6237,877,15535000
/root/snipersim_framework/config_l2_512_l3MB_4096_prefetch_ghb_branch_4096,118671,8686,6569,15540200,114440,6734,808,15540200
/root/snipersim_framework/config_l2_512_l3MB_12288_prefetch_ghb_branch_512,118140,8675,6569,15541600,114448,6800,821,15541600
/root/snipersim_framework/config_l2_512_l3MB_16384_prefetch_none_branch_2048,117094,8670,6423,15550100,113767,6759,914,15550100
/root/snipersim_framework/config_l2_256_l3MB_8192_prefetch_simple_branch_1024,117589,10467,6514,16382800,112630,6190,921,16382800
/root/snipersim_framework/config_l2_256_l3MB_4096_prefetch_ghb_branch_1024,118274,10618,6592,16408900,114370,6213,852,16408900
/root/snipersim_framework/config_l2_1024_l3MB_8192_prefetch_none_branch_4096,117802,8592,6516,16422200,113313,6664,852,16422200
/root/snipersim_framework/config_l2_256_l3MB_8192_prefetch_none_branch_2048,117897,10531,6567,16427700,111522,6281,775,16427700
/root/snipersim_framework/config_l2_512_l3MB_4096_prefetch_ghb_branch_512,117919,8687,6547,16435600,113291,6681,816,16435600
/root/snipersim_framework/config_l2_1024_l3MB_4096_prefetch_ghb_branch_2048,117651,8620,6575,16436100,113281,6709,799,16436100
/root/snipersim_framework/config_l2_256_l3MB_4096_prefetch_ghb_branch_512,118303,10464,6454,16436100,111622,6143,857,16436100
/root/snipersim_framework/config_l2_1024_l3MB_16384_prefetch_simple_branch_4096,116592,8696,6485,16436600,112819,6728,860,16436600
/root/snipersim_framework/config_l2_1024_l3MB_12288_prefetch_ghb_branch_512,116829,8621,6451,16439500,112914,6732,863,16439500
/root/snipersim_framework/config_l2_512_l3MB_8192_prefetch_none_branch_4096,117700,8592,6527,16444400,112824,6821,792,16444400
/root/snipersim_framework/config_l2_256_l3MB_12288_prefetch_none_branch_4096,117607,10444,6482,16451900,112407,6357,853,16451900
/root/snipersim_framework/config_l2_256_l3MB_16384_prefetch_none_branch_1024,117790,10446,6541,16461100,112473,6180,846,16461100
/root/snipersim_framework/config_l2_256_l3MB_12288_prefetch_simple_branch_512,118034,10173,6626,16471000,112963,6224,756,16471000
/root/snipersim_framework/config_l2_1024_l3MB_4096_prefetch_ghb_branch_512,116836,8614,6451,16477800,111887,6457,876,16477800
/root/snipersim_framework/config_l2_256_l3MB_16384_prefetch_none_branch_512,117049,10552,6492,16486300,114195,6125,823,16486300
/root/snipersim_framework/config_l2_1024_l3MB_8192_prefetch_simple_branch_2048,118340,8620,6512,16489100,114505,6839,860,16489100
/root/snipersim_framework/config_l2_256_l3MB_8192_prefetch_ghb_branch_4096,116992,10315,6433,16490900,115858,6160,847,16490900
/root/snipersim_framework/config_l2_256_l3MB_4096_prefetch_simple_branch_2048,118605,10574,6569,16494100,114107,6169,833,16494100
/root/snipersim_framework/config_l2_1024_l3MB_4096_prefetch_ghb_branch_1024,118430,8662,6556,16496000,111978,6830,868,16496000
/root/snipersim_framework/config_l2_1024_l3MB_8192_prefetch_simple_branch_4096,118315,8599,6562,16504600,112936,6802,802,16504600
/root/snipersim_framework/config_l2_512_l3MB_8192_prefetch_none_branch_2048,117717,8365,6610,16504700,110773,6728,765,16504700
/root/snipersim_framework/config_l2_256_l3MB_8192_prefetch_ghb_branch_512,117946,10325,6622,16517700,112969,6103,756,16517700
/root/snipersim_framework/config_l2_256_l3MB_12288_prefetch_ghb_branch_4096,118346,10296,6638,16540900,113049,6334,741,16540900
/root/snipersim_framework/config_l2_1024_l3MB_4096_prefetch_simple_branch_4096,117474,8317,6582,16547300,114690,6727,757,16547300
/root/snipersim_framework/config_l2_1024_l3MB_16384_prefetch_ghb_branch_1024,118469,8345,6595,16551300,114674,6767,751,16551300
/root/snipersim_framework/config_l2_1024_l3MB_8192_prefetch_ghb_branch_2048,118947,8330,6590,16620100,115147,6644,758,16620100
/root/snipersim_framework/config_l2_256_l3MB_4096_prefetch_ghb_branch_4096,116859,10441,6389,17376500,113093,6138,914,17376500
/root/snipersim_framework/config_l2_256_l3MB_8192_prefetch_none_branch_1024,116759,10311,6423,17378500,112598,6066,895,17378500
/root/snipersim_framework/config_l2_256_l3MB_12288_prefetch_ghb_branch_1024,117775,10651,6567,17387000,113129,5980,850,17387000
/root/snipersim_framework/config_l2_1024_l3MB_4096_prefetch_none_branch_1024,117935,8653,6548,17398400,113359,6739,821,17398400
/root/snipersim_framework/config_l2_512_l3MB_12288_prefetch_ghb_branch_1024,116344,8642,6378,17398600,112647,6422,905,17398600
/root/snipersim_framework/config_l2_256_l3MB_16384_prefetch_none_branch_4096,118096,10326,6494,17402100,113367,6227,797,17402100
/root/snipersim_framework/config_l2_1024_l3MB_16384_prefetch_ghb_branch_2048,116775,8561,6439,17403900,112722,6604,850,17403900
/root/snipersim_framework/config_l2_256_l3MB_8192_prefetch_simple_branch_2048,116588,10543,6456,17407400,112845,6325,904,17407400
/root/snipersim_framework/config_l2_256_l3MB_16384_prefetch_simple_branch_2048,117719,10355,6444,17409900,112579,6103,832,17409900
/root/snipersim_framework/config_l2_1024_l3MB_8192_prefetch_simple_branch_512,116766,8571,6445,17412100,112760,6621,851,17412100
