directory,branch_misprediction_1,l2_cache_miss_1,l3_cache_miss_1,time_ns_1,cycles_1,instructions_1,branch_misprediction_2,l2_cache_miss_2,l3_cache_miss_2,time_ns_2,cycles_2,instructions_2
/root/snipersim_framework/fft_config_l2_256_l3MB_16384_prefetch_none_branch_1024,652,1656,1376,246900,656754,274359,511,1189,438,246900,656754,174499
/root/snipersim_framework/fft_config_l2_256_l3MB_16384_prefetch_none_branch_512,628,1643,1330,245700,653562,272145,505,1181,473,245700,653562,174285
/root/snipersim_framework/fft_config_l2_256_l3MB_8192_prefetch_none_branch_1024,654,1644,1358,236800,629888,274515,502,1200,448,236800,629888,174469
/root/snipersim_framework/fft_config_l2_1024_l3MB_8192_prefetch_none_branch_4096,644,1665,1348,238900,635474,274395,502,1182,463,238900,635474,174238
/root/snipersim_framework/fft_config_l2_256_l3MB_8192_prefetch_ghb_branch_512,652,1700,1370,244900,651434,273733,496,1162,443,244900,651434,173045
/root/snipersim_framework/fft_config_l2_512_l3MB_12288_prefetch_simple_branch_2048,630,1640,1316,242700,645582,272364,506,1174,489,242700,645582,174060
/root/snipersim_framework/fft_config_l2_256_l3MB_8192_prefetch_simple_branch_1024,633,1621,1317,241300,641858,272354,499,1186,481,241300,641858,174042
/root/snipersim_framework/fft_config_l2_256_l3MB_16384_prefetch_simple_branch_4096,661,1677,1387,239900,638134,274521,514,1210,428,239900,638134,174557
/root/snipersim_framework/fft_config_l2_512_l3MB_16384_prefetch_simple_branch_2048,647,1638,1333,240600,639996,272465,512,1185,470,240600,639996,174219
/root/snipersim_framework/fft_config_l2_1024_l3MB_16384_prefetch_simple_branch_512,652,1666,1382,238700,634942,274453,501,1184,429,238700,634942,174358
/root/snipersim_framework/fft_config_l2_512_l3MB_8192_prefetch_none_branch_512,649,1661,1374,237400,631484,274572,508,1212,436,237400,631484,174250
/root/snipersim_framework/fft_config_l2_512_l3MB_4096_prefetch_none_branch_1024,659,1650,1346,242400,644784,274613,502,1196,471,242400,644784,174180
/root/snipersim_framework/fft_config_l2_1024_l3MB_12288_prefetch_simple_branch_1024,634,1616,1335,241400,642124,272120,507,1199,463,241400,642124,174308
/root/snipersim_framework/fft_config_l2_256_l3MB_4096_prefetch_simple_branch_4096,655,1693,1354,237400,631484,273555,498,1192,458,237400,631484,175119
/root/snipersim_framework/fft_config_l2_512_l3MB_4096_prefetch_ghb_branch_4096,651,1670,1366,237900,632814,274772,505,1193,451,237900,632814,174033
/root/snipersim_framework/fft_config_l2_512_l3MB_8192_prefetch_ghb_branch_1024,656,1661,1326,235000,625100,272458,512,1205,491,235000,625100,176327
/root/snipersim_framework/fft_config_l2_256_l3MB_8192_prefetch_none_branch_4096,655,1686,1373,243900,648774,273742,505,1196,447,243900,648774,175036
/root/snipersim_framework/fft_config_l2_512_l3MB_8192_prefetch_none_branch_1024,634,1625,1309,243900,648774,272066,504,1184,489,243900,648774,174190
/root/snipersim_framework/fft_config_l2_1024_l3MB_12288_prefetch_simple_branch_2048,631,1619,1333,239300,636538,272150,504,1191,471,239300,636538,174228
