directory,branch_misprediction_1,l2_cache_miss_1,l3_cache_miss_1,time_ns_1,cycles_1,instructions_1,branch_misprediction_2,l2_cache_miss_2,l3_cache_miss_2,time_ns_2,cycles_2,instructions_2
/root/snipersim_framework/freq_2.6_1.8_barnes_config_l2_512_l3MB_12288_prefetch_ghb_branch_512,117651,8940,6547,22535100,59943366,93454817,114135,9411,850,22535100,40563180,56630191
/root/snipersim_framework/freq_2.6_1.8_barnes_config_l2_256_l3MB_4096_prefetch_none_branch_2048,117659,11820,6574,18659700,49634802,61923431,113675,8529,826,18659700,33587460,39027008
/root/snipersim_framework/freq_2.6_1.8_barnes_config_l2_256_l3MB_16384_prefetch_ghb_branch_4096,117113,10262,6465,21773100,57916446,93416036,114350,6345,827,21773100,39191580,49438950
/root/snipersim_framework/freq_2.6_1.8_barnes_config_l2_256_l3MB_4096_prefetch_simple_branch_2048,117299,10226,6445,18725200,49809032,61625074,114250,6325,839,18725200,33705360,45687034
/root/snipersim_framework/freq_2.6_1.8_barnes_config_l2_256_l3MB_12288_prefetch_simple_branch_2048,118610,10373,6592,19832300,52753918,62036782,113682,6439,767,19832300,35698140,45862338
/root/snipersim_framework/freq_2.6_1.8_barnes_config_l2_1024_l3MB_8192_prefetch_none_branch_512,118462,8523,6590,17794800,47334168,61679137,114163,6937,769,17794800,32030640,42288591
/root/snipersim_framework/freq_2.6_1.8_barnes_config_l2_1024_l3MB_8192_prefetch_none_branch_2048,118470,8327,6659,18817200,50053752,69601313,113235,6862,732,18817200,33870960,42294018
/root/snipersim_framework/freq_2.6_1.8_barnes_config_l2_512_l3MB_8192_prefetch_simple_branch_512,117028,8448,6487,17824500,47413170,62078948,113720,6879,828,17824500,32084100,42468556
/root/snipersim_framework/freq_2.6_1.8_barnes_config_l2_256_l3MB_16384_prefetch_none_branch_4096,118412,10214,6649,19858800,52824408,77584049,114006,6339,755,19858800,35745840,49262988
/root/snipersim_framework/freq_2.6_1.8_barnes_config_l2_256_l3MB_16384_prefetch_simple_branch_2048,118413,10110,6648,19765200,52575432,69580832,112143,6205,742,19765200,35577360,42304968
/root/snipersim_framework/freq_2.6_1.8_barnes_config_l2_512_l3MB_4096_prefetch_ghb_branch_4096,118780,8658,6574,22759800,60541068,93549160,114215,7043,803,22759800,40967640,60030154
/root/snipersim_framework/freq_2.6_1.8_barnes_config_l2_1024_l3MB_4096_prefetch_none_branch_512,118321,8317,6606,18778400,49950544,61592111,114368,6882,751,18778400,33801120,45434744
/root/snipersim_framework/freq_2.6_1.8_barnes_config_l2_512_l3MB_16384_prefetch_simple_branch_4096,118543,8362,6639,20805400,55342364,85142955,113350,6815,744,20805400,37449720,49315980
/root/snipersim_framework/freq_2.6_1.8_barnes_config_l2_256_l3MB_8192_prefetch_none_branch_1024,117022,10261,6486,17748600,47211276,53754208,114172,6276,874,17748600,31947480,42146871
/root/snipersim_framework/freq_2.6_1.8_barnes_config_l2_512_l3MB_16384_prefetch_ghb_branch_4096,117177,8585,6474,18792400,49987784,62064076,113120,6788,852,18792400,33826320,42481983
/root/snipersim_framework/freq_2.6_1.8_barnes_config_l2_1024_l3MB_16384_prefetch_simple_branch_4096,117191,8610,6483,20724800,55127968,77199800,115082,6890,827,20724800,37304640,52712610
/root/snipersim_framework/freq_2.6_1.8_barnes_config_l2_512_l3MB_12288_prefetch_none_branch_1024,118304,8363,6608,19744100,52519306,77145827,114167,6843,742,19744100,35539380,49055846
/root/snipersim_framework/freq_2.6_1.8_barnes_config_l2_256_l3MB_12288_prefetch_none_branch_2048,117990,11907,6489,22547600,59976616,85546004,114995,8466,860,22547600,40585680,49483785
/root/snipersim_framework/freq_2.6_1.8_barnes_config_l2_512_l3MB_8192_prefetch_none_branch_2048,118525,8666,6557,20765300,55235698,77613247,114322,6991,848,20765300,37377540,49229918
/root/snipersim_framework/freq_2.6_1.8_barnes_config_l2_512_l3MB_8192_prefetch_none_branch_1024,118401,8581,6563,20734900,55154834,84874486,113566,6890,778,20734900,37322820,52773702
/root/snipersim_framework/freq_2.6_1.8_barnes_config_l2_512_l3MB_8192_prefetch_ghb_branch_2048,116350,9044,6480,19591700,52113922,69417091,114180,9454,886,19591700,35265060,42417672
/root/snipersim_framework/freq_2.6_1.8_barnes_config_l2_512_l3MB_4096_prefetch_ghb_branch_1024,117114,8543,6506,20761100,55224526,85140861,114046,7010,812,20761100,37369980,52880228
/root/snipersim_framework/freq_2.6_1.8_barnes_config_l2_512_l3MB_4096_prefetch_ghb_branch_512,117813,8865,6575,17641100,46925326,53981479,114389,9345,799,17641100,31753980,42400916
/root/snipersim_framework/freq_2.6_1.8_barnes_config_l2_1024_l3MB_8192_prefetch_none_branch_1024,118257,8604,6494,17789700,47320602,61638647,113896,6947,818,17789700,32021460,42306346
/root/snipersim_framework/freq_2.6_1.8_barnes_config_l2_1024_l3MB_16384_prefetch_ghb_branch_1024,117534,9092,6493,19520500,51924530,68958867,114442,9488,855,19520500,35136900,42203037
/root/snipersim_framework/freq_2.6_1.8_barnes_config_l2_256_l3MB_4096_prefetch_ghb_branch_1024,117072,10230,6453,18679400,49687204,61634848,113747,6276,849,18679400,33622920,45692040
/root/snipersim_framework/freq_2.6_1.8_barnes_config_l2_256_l3MB_8192_prefetch_ghb_branch_2048,117634,11663,6497,21546400,57313424,85618374,114114,8354,864,21546400,38783520,49543150
/root/snipersim_framework/freq_2.6_1.8_barnes_config_l2_512_l3MB_16384_prefetch_ghb_branch_512,117019,8518,6469,18778400,49950544,69598971,114000,6747,820,18778400,33801120,45875777
/root/snipersim_framework/freq_2.6_1.8_barnes_config_l2_256_l3MB_16384_prefetch_none_branch_512,117187,11485,6510,17631900,46900854,61877339,114916,8525,861,17631900,31737420,42595926
/root/snipersim_framework/freq_2.6_1.8_barnes_config_l2_256_l3MB_8192_prefetch_ghb_branch_512,118202,10265,6559,18764800,49914368,69574759,113821,6316,792,18764800,33776640,42291038
/root/snipersim_framework/freq_2.6_1.8_barnes_config_l2_1024_l3MB_12288_prefetch_none_branch_2048,118747,8591,6521,20776800,55266288,77131611,113744,6954,784,20776800,37398240,49293993
/root/snipersim_framework/freq_2.6_1.8_barnes_config_l2_256_l3MB_8192_prefetch_simple_branch_4096,117254,11558,6513,19561200,52032792,69835792,114345,8803,850,19561200,35210160,42405694
/root/snipersim_framework/freq_2.6_1.8_barnes_config_l2_512_l3MB_4096_prefetch_ghb_branch_2048,116183,9060,6433,21499100,57187606,77789173,113930,9305,938,21499100,38698380,49293750
