directory,branch_misprediction_1,l2_cache_miss_1,l3_cache_miss_1,time_ns_1,cycles_1,instructions_1,branch_misprediction_2,l2_cache_miss_2,l3_cache_miss_2,time_ns_2,cycles_2,instructions_2
/root/snipersim_framework/radiosity_config_l2_512_l3MB_4096_prefetch_simple_branch_512,378984,753004,593056,70689100,188033006,305810290,401581,175947,12724,70689100,188033006,250046806
/root/snipersim_framework/radiosity_config_l2_512_l3MB_8192_prefetch_ghb_branch_2048,485073,773720,591790,69270900,184260594,301792315,283116,148604,13459,69270900,184260594,244230605
/root/snipersim_framework/radiosity_config_l2_1024_l3MB_8192_prefetch_none_branch_1024,481218,713365,592137,71453300,190065778,314454080,286329,91954,13388,71453300,190065778,256225299
/root/snipersim_framework/radiosity_config_l2_256_l3MB_4096_prefetch_ghb_branch_512,500271,794118,592393,69844500,185786370,313071988,273501,180055,12972,69844500,185786370,248465328
/root/snipersim_framework/radiosity_config_l2_256_l3MB_8192_prefetch_simple_branch_1024,438551,785237,592635,70683400,188017844,318588708,340084,188491,12686,70683400,188017844,248179156
/root/snipersim_framework/radiosity_config_l2_256_l3MB_8192_prefetch_none_branch_2048,474384,790935,592537,68436900,182042154,301614381,268757,187511,12854,68436900,182042154,240871976
/root/snipersim_framework/radiosity_config_l2_512_l3MB_8192_prefetch_simple_branch_1024,471336,778736,591297,70589200,187767272,312679552,283992,136758,13700,70589200,187767272,246658092
/root/snipersim_framework/radiosity_config_l2_1024_l3MB_16384_prefetch_ghb_branch_1024,393721,692352,591895,70969400,188778604,322719404,405835,128393,13448,70969400,188778604,248945975
/root/snipersim_framework/radiosity_config_l2_1024_l3MB_8192_prefetch_ghb_branch_512,491737,721104,591106,67314500,179056570,307705823,273511,75604,14336,67314500,179056570,234746919
/root/snipersim_framework/radiosity_config_l2_512_l3MB_16384_prefetch_none_branch_512,453413,776446,591938,66584900,177115834,295776972,263016,138895,13259,66584900,177115834,231659580
/root/snipersim_framework/radiosity_config_l2_1024_l3MB_16384_prefetch_none_branch_512,506171,721285,592330,70139000,186569740,316075029,285272,85367,12952,70139000,186569740,250839917
/root/snipersim_framework/radiosity_config_l2_256_l3MB_16384_prefetch_ghb_branch_4096,463193,797355,592611,69078900,183749874,313167251,290196,168959,12606,69078900,183749874,239788069
/root/snipersim_framework/radiosity_config_l2_256_l3MB_8192_prefetch_ghb_branch_1024,488003,808406,593069,68284800,181637568,298493984,279677,169872,13031,68284800,181637568,239824837
/root/snipersim_framework/radiosity_config_l2_1024_l3MB_12288_prefetch_ghb_branch_2048,403532,706208,591390,68594400,182461104,307494047,377834,102441,13783,68594400,182461104,239810381
/root/snipersim_framework/radiosity_config_l2_256_l3MB_16384_prefetch_ghb_branch_1024,497401,766595,592167,70268500,186914210,318287476,289839,174059,13166,70268500,186914210,250459984
/root/snipersim_framework/radiosity_config_l2_512_l3MB_8192_prefetch_simple_branch_2048,467324,790584,593767,69437800,184704548,306520578,275028,148637,13094,69437800,184704548,241389642
/root/snipersim_framework/radiosity_config_l2_256_l3MB_8192_prefetch_simple_branch_512,374185,763443,592268,70033700,186289642,314884345,397138,213977,13777,70033700,186289642,245762440
/root/snipersim_framework/radiosity_config_l2_512_l3MB_12288_prefetch_simple_branch_2048,498112,772598,593127,68763000,182909580,307658992,273212,143218,11958,68763000,182909580,239487675
/root/snipersim_framework/radiosity_config_l2_512_l3MB_12288_prefetch_ghb_branch_4096,433044,759824,591770,67723800,180145308,285326913,272873,156921,13515,67723800,180145308,235157018
/root/snipersim_framework/radiosity_config_l2_1024_l3MB_8192_prefetch_ghb_branch_2048,369290,708488,593738,68275100,181611766,298148089,406739,117019,12234,68275100,181611766,239481457
/root/snipersim_framework/radiosity_config_l2_256_l3MB_12288_prefetch_ghb_branch_2048,473103,802716,592365,67254300,178896438,292764450,271939,166247,13203,67254300,178896438,234824132
/root/snipersim_framework/radiosity_config_l2_1024_l3MB_12288_prefetch_none_branch_2048,417229,683467,592111,69522400,184929584,319191536,363940,98243,12979,69522400,184929584,247024339
/root/snipersim_framework/radiosity_config_l2_512_l3MB_4096_prefetch_ghb_branch_1024,458800,771020,593405,68688200,182710612,297081063,266826,166123,13144,68688200,182710612,241888863
/root/snipersim_framework/radiosity_config_l2_512_l3MB_4096_prefetch_simple_branch_2048,361073,738271,592495,65782300,174980918,279385301,377998,167128,13948,65782300,174980918,225867910
/root/snipersim_framework/radiosity_config_l2_256_l3MB_16384_prefetch_none_branch_4096,482074,793217,591978,67957200,180766152,284709206,276747,174514,13142,67957200,180766152,236373740
/root/snipersim_framework/radiosity_config_l2_512_l3MB_16384_prefetch_none_branch_4096,463037,750608,592088,65402800,173971448,281029754,248017,129681,13091,65402800,173971448,226537639
/root/snipersim_framework/radiosity_config_l2_1024_l3MB_12288_prefetch_none_branch_512,367507,716626,593321,67615900,179858294,303763366,398143,122004,13300,67615900,179858294,232944825
/root/snipersim_framework/radiosity_config_l2_1024_l3MB_4096_prefetch_ghb_branch_4096,503423,713666,592488,66460500,176784930,286870735,254147,80464,12473,66460500,176784930,227879976
/root/snipersim_framework/radiosity_config_l2_512_l3MB_8192_prefetch_simple_branch_512,452331,772351,593234,69202800,184079448,300120199,277753,152231,13520,69202800,184079448,244116044
